phase,time,confidence
P,2022-12-20T00:01:40.038400Z,0.327
P,2022-12-20T00:01:41.648400Z,0.789
P,2022-12-20T00:01:45.568400Z,0.642
P,2022-12-20T00:01:50.978400Z,0.306
P,2022-12-20T00:01:55.968400Z,0.106
P,2022-12-20T00:02:06.428400Z,0.342
P,2022-12-20T00:02:20.758400Z,0.108
P,2022-12-20T00:02:23.068400Z,0.292
P,2022-12-20T00:02:30.058400Z,0.279
P,2022-12-20T00:02:31.218400Z,0.170
P,2022-12-20T00:02:38.998400Z,0.257
P,2022-12-20T00:02:48.438400Z,0.489
P,2022-12-20T00:04:52.618400Z,0.376
P,2022-12-20T00:06:15.928400Z,0.337
P,2022-12-20T00:06:30.138400Z,0.117
P,2022-12-20T00:07:11.428400Z,0.264
P,2022-12-20T00:07:18.868400Z,0.488
P,2022-12-20T00:07:34.208400Z,0.103
P,2022-12-20T00:07:38.708400Z,0.175
P,2022-12-20T00:07:43.328400Z,0.156
P,2022-12-20T00:08:03.818400Z,0.603
P,2022-12-20T00:08:05.588400Z,0.166
P,2022-12-20T00:08:09.588400Z,0.135
P,2022-12-20T00:10:17.998400Z,0.196
P,2022-12-20T00:10:30.218400Z,0.207
P,2022-12-20T00:10:32.758400Z,0.742
P,2022-12-20T00:10:34.358400Z,0.296
P,2022-12-20T00:13:24.258400Z,0.103
P,2022-12-20T00:13:25.688400Z,0.198
P,2022-12-20T00:13:42.098400Z,0.397
P,2022-12-20T00:15:56.218400Z,0.133
P,2022-12-20T00:16:51.588400Z,0.146
P,2022-12-20T00:17:25.378400Z,0.150
P,2022-12-20T00:17:36.578400Z,0.369
P,2022-12-20T00:17:44.398400Z,0.413
P,2022-12-20T00:17:54.758400Z,0.481
P,2022-12-20T00:18:01.158400Z,0.213
P,2022-12-20T00:20:13.378400Z,0.981
P,2022-12-20T00:20:15.528400Z,0.350
P,2022-12-20T00:20:32.658400Z,0.747
P,2022-12-20T00:20:35.058400Z,0.134
P,2022-12-20T00:22:45.808400Z,0.104
P,2022-12-20T00:22:51.948400Z,0.769
P,2022-12-20T00:23:00.528400Z,0.711
P,2022-12-20T00:23:33.668400Z,0.124
P,2022-12-20T00:25:32.238400Z,0.168
P,2022-12-20T00:25:35.378400Z,0.153
P,2022-12-20T00:25:43.388400Z,0.138
P,2022-12-20T00:27:21.718400Z,0.193
P,2022-12-20T00:27:30.208400Z,0.159
P,2022-12-20T00:27:33.648400Z,0.110
P,2022-12-20T00:27:40.178400Z,0.360
P,2022-12-20T00:27:43.178400Z,0.470
P,2022-12-20T00:28:18.808400Z,0.283
P,2022-12-20T00:28:34.018400Z,0.155
P,2022-12-20T00:28:37.118400Z,0.368
P,2022-12-20T00:28:56.718400Z,0.186
P,2022-12-20T00:29:06.268400Z,0.137
P,2022-12-20T00:29:11.118400Z,0.148
P,2022-12-20T00:29:37.678400Z,0.106
P,2022-12-20T00:29:56.478400Z,0.244
P,2022-12-20T00:32:25.588400Z,0.101
P,2022-12-20T00:33:50.818400Z,0.240
P,2022-12-20T00:34:02.198400Z,0.318
P,2022-12-20T00:34:34.648400Z,0.699
P,2022-12-20T00:36:26.638400Z,0.480
P,2022-12-20T00:37:00.608400Z,0.186
P,2022-12-20T00:37:01.688400Z,0.412
P,2022-12-20T00:37:15.978400Z,0.346
P,2022-12-20T00:37:21.548400Z,0.427
P,2022-12-20T00:37:40.018400Z,0.172
P,2022-12-20T00:37:47.128400Z,0.720
P,2022-12-20T00:38:19.888400Z,0.191
P,2022-12-20T00:38:59.148400Z,0.125
P,2022-12-20T00:39:05.548400Z,0.284
P,2022-12-20T00:39:13.378400Z,0.361
P,2022-12-20T00:39:20.558400Z,0.838
P,2022-12-20T00:40:07.368400Z,0.133
P,2022-12-20T00:40:16.468400Z,0.126
P,2022-12-20T00:40:20.508400Z,0.353
P,2022-12-20T00:40:21.588400Z,0.322
P,2022-12-20T00:40:25.648400Z,0.101
P,2022-12-20T00:40:48.408400Z,0.879
P,2022-12-20T00:41:00.878400Z,0.396
P,2022-12-20T00:41:24.588400Z,0.355
P,2022-12-20T00:43:08.918400Z,0.462
P,2022-12-20T00:43:11.588400Z,0.396
P,2022-12-20T00:43:21.948400Z,0.347
P,2022-12-20T00:43:25.298400Z,0.351
P,2022-12-20T00:43:43.608400Z,0.772
P,2022-12-20T00:43:54.878400Z,0.414
P,2022-12-20T00:48:10.388400Z,0.272
P,2022-12-20T00:50:49.318400Z,0.107
P,2022-12-20T00:50:51.938400Z,0.341
P,2022-12-20T00:51:02.128400Z,0.108
P,2022-12-20T00:53:01.068400Z,0.170
P,2022-12-20T00:56:48.538400Z,0.195
P,2022-12-20T00:56:56.588400Z,0.851
P,2022-12-20T00:57:04.818400Z,0.117
P,2022-12-20T00:57:06.798400Z,0.642
P,2022-12-20T00:57:34.608400Z,0.933
P,2022-12-20T00:57:43.138400Z,0.250
P,2022-12-20T01:00:01.198400Z,0.118
P,2022-12-20T01:02:11.188400Z,0.904
P,2022-12-20T01:02:18.028400Z,0.185
P,2022-12-20T01:02:23.448400Z,0.118
P,2022-12-20T01:03:01.308400Z,0.604
P,2022-12-20T01:03:32.738400Z,0.106
P,2022-12-20T01:03:36.398400Z,0.444
P,2022-12-20T01:04:16.628400Z,0.290
P,2022-12-20T01:04:34.318400Z,0.307
P,2022-12-20T01:04:43.568400Z,0.418
P,2022-12-20T01:07:18.068400Z,0.213
P,2022-12-20T01:07:20.268400Z,0.201
P,2022-12-20T01:07:23.248400Z,0.281
P,2022-12-20T01:07:26.438400Z,0.643
