start,target,sample_min,max_range,num_gaps,sample_unique,percent_availability
2025-02-11,UW.MBW.01.EHZ.M,0.0,3399.0,3.0,22.0,94.203
2025-02-10,UW.MBW.01.EHZ.M,0.0,3380.0,3.0,27.0,99.985
2025-02-09,UW.MBW.01.EHZ.M,0.0,3379.0,3.0,14.0,99.739
2025-02-08,UW.MBW.01.EHZ.M,0.0,3381.0,3.0,17.0,99.993
2025-02-07,UW.MBW.01.EHZ.M,0.0,3394.0,6.0,23.0,99.99
2025-02-06,UW.MBW.01.EHZ.M,0.0,3389.0,2.0,24.0,99.985
2025-02-05,UW.MBW.01.EHZ.M,0.0,3400.0,7.0,20.0,99.278
2025-02-04,UW.MBW.01.EHZ.M,0.0,3393.0,3.0,18.0,99.993
2025-02-03,UW.MBW.01.EHZ.M,0.0,3379.0,4.0,21.0,99.994
2025-02-01,UW.MBW.01.EHZ.M,0.0,3374.0,7.0,26.0,99.749
2025-02-02,UW.MBW.01.EHZ.M,0.0,3370.0,2.0,14.0,99.986
2025-01-31,UW.MBW.01.EHZ.M,0.0,3364.0,5.0,16.0,99.991
2025-01-30,UW.MBW.01.EHZ.M,3347.0,6.0,1.0,19.0,99.995
2025-01-29,UW.MBW.01.EHZ.M,0.0,3359.0,4.0,14.0,99.984
2025-01-28,UW.MBW.01.EHZ.M,0.0,3361.0,2.0,20.0,99.75
2025-01-27,UW.MBW.01.EHZ.M,0.0,3369.0,2.0,17.0,99.994
2025-01-26,UW.MBW.01.EHZ.M,0.0,3370.0,2.0,12.0,99.994
2025-01-25,UW.MBW.01.EHZ.M,0.0,3375.0,4.0,13.0,99.985
2025-01-24,UW.MBW.01.EHZ.M,0.0,3369.0,4.0,13.0,99.732
2025-01-23,UW.MBW.01.EHZ.M,0.0,3369.0,3.0,14.0,99.985
2025-01-22,UW.MBW.01.EHZ.M,0.0,3372.0,12.0,16.0,96.715
2025-01-21,UW.MBW.01.EHZ.M,0.0,3371.0,5.0,15.0,99.495
2025-01-20,UW.MBW.01.EHZ.M,0.0,3375.0,5.0,16.0,99.752
2025-01-18,UW.MBW.01.EHZ.M,0.0,3373.0,2.0,16.0,99.994
2025-01-19,UW.MBW.01.EHZ.M,0.0,3369.0,2.0,13.0,99.995
2025-01-17,UW.MBW.01.EHZ.M,3358.0,6.0,2.0,8.0,99.985
2025-01-16,UW.MBW.01.EHZ.M,0.0,3356.0,7.0,21.0,99.748
2025-01-15,UW.MBW.01.EHZ.M,0.0,3361.0,3.0,19.0,99.984
2025-01-14,UW.MBW.01.EHZ.M,0.0,3364.0,3.0,14.0,99.868
2025-01-13,UW.MBW.01.EHZ.M,0.0,3364.0,5.0,11.0,99.983
2025-01-12,UW.MBW.01.EHZ.M,0.0,3361.0,6.0,14.0,99.732
2025-01-11,UW.MBW.01.EHZ.M,0.0,3355.0,5.0,12.0,99.992
2025-01-10,UW.MBW.01.EHZ.M,0.0,3350.0,4.0,14.0,99.992
2025-01-09,UW.MBW.01.EHZ.M,0.0,3357.0,7.0,19.0,99.983
2025-01-08,UW.MBW.01.EHZ.M,3345.0,6.0,2.0,13.0,99.728
2025-01-07,UW.MBW.01.EHZ.M,0.0,3355.0,4.0,10.0,99.985
2025-01-06,UW.MBW.01.EHZ.M,0.0,3359.0,6.0,21.0,99.861
2025-01-05,UW.MBW.01.EHZ.M,0.0,3354.0,7.0,15.0,99.983
2025-01-04,UW.MBW.01.EHZ.M,0.0,3354.0,3.0,12.0,99.745
2025-01-03,UW.MBW.01.EHZ.M,0.0,3362.0,2.0,11.0,99.995
2025-01-02,UW.MBW.01.EHZ.M,0.0,3363.0,3.0,9.0,99.993
2024-12-30,UW.MBW.01.EHZ.M,0.0,3358.0,5.0,12.0,99.991
2025-01-01,UW.MBW.01.EHZ.M,0.0,3363.0,2.0,12.0,99.985
2024-12-31,UW.MBW.01.EHZ.M,0.0,3359.0,4.0,11.0,99.726
2024-12-29,UW.MBW.01.EHZ.M,0.0,3350.0,4.0,12.0,99.992
2024-12-28,UW.MBW.01.EHZ.M,0.0,3353.0,6.0,12.0,99.964
2024-12-27,UW.MBW.01.EHZ.M,0.0,3355.0,4.0,10.0,99.756
2024-12-26,UW.MBW.01.EHZ.M,0.0,3359.0,5.0,14.0,99.991
2024-12-25,UW.MBW.01.EHZ.M,0.0,3348.0,2.0,17.0,99.995
2024-12-24,UW.MBW.01.EHZ.M,0.0,3345.0,2.0,12.0,99.986
2024-12-23,UW.MBW.01.EHZ.M,0.0,3348.0,6.0,12.0,99.721
2024-12-22,UW.MBW.01.EHZ.M,0.0,3350.0,2.0,15.0,99.995
2024-12-21,UW.MBW.01.EHZ.M,0.0,3336.0,2.0,11.0,99.986
2024-12-20,UW.MBW.01.EHZ.M,0.0,3344.0,6.0,12.0,99.733
2024-12-19,UW.MBW.01.EHZ.M,0.0,3352.0,6.0,15.0,99.738
2024-12-18,UW.MBW.01.EHZ.M,0.0,3349.0,2.0,23.0,99.994
2024-12-17,UW.MBW.01.EHZ.M,0.0,3359.0,2.0,12.0,99.994
2024-12-16,UW.MBW.01.EHZ.M,0.0,3359.0,2.0,10.0,99.985
2024-12-15,UW.MBW.01.EHZ.M,0.0,3351.0,3.0,17.0,99.735
2024-12-14,UW.MBW.01.EHZ.M,0.0,3354.0,4.0,11.0,99.993
2024-12-13,UW.MBW.01.EHZ.M,0.0,3355.0,3.0,9.0,99.993
2024-12-12,UW.MBW.01.EHZ.M,0.0,3356.0,7.0,11.0,99.983
2024-12-11,UW.MBW.01.EHZ.M,0.0,3361.0,6.0,14.0,99.719
2024-12-10,UW.MBW.01.EHZ.M,0.0,3363.0,6.0,17.0,99.984
2024-12-09,UW.MBW.01.EHZ.M,0.0,3355.0,3.0,11.0,99.742
2024-12-08,UW.MBW.01.EHZ.M,0.0,3346.0,3.0,16.0,99.743
2024-12-07,UW.MBW.01.EHZ.M,0.0,3342.0,5.0,15.0,99.742
2024-12-06,UW.MBW.01.EHZ.M,0.0,3350.0,5.0,17.0,99.992
2024-12-05,UW.MBW.01.EHZ.M,0.0,3339.0,2.0,22.0,99.993
2024-12-04,UW.MBW.01.EHZ.M,0.0,3353.0,3.0,20.0,99.985
2024-12-03,UW.MBW.01.EHZ.M,0.0,3355.0,4.0,14.0,99.747
2024-12-02,UW.MBW.01.EHZ.M,0.0,3358.0,2.0,12.0,99.994
2024-12-01,UW.MBW.01.EHZ.M,0.0,3356.0,2.0,10.0,99.994
2024-11-30,UW.MBW.01.EHZ.M,0.0,3362.0,3.0,14.0,99.984
2024-11-29,UW.MBW.01.EHZ.M,0.0,3364.0,5.0,11.0,99.739
2024-11-28,UW.MBW.01.EHZ.M,0.0,3360.0,2.0,14.0,99.994
2024-11-27,UW.MBW.01.EHZ.M,0.0,3358.0,2.0,10.0,99.994
2024-11-26,UW.MBW.01.EHZ.M,0.0,3359.0,2.0,12.0,99.986
2024-11-25,UW.MBW.01.EHZ.M,3348.0,6.0,2.0,13.0,99.727
2024-11-24,UW.MBW.01.EHZ.M,0.0,3355.0,2.0,14.0,99.994
2024-11-23,UW.MBW.01.EHZ.M,0.0,3345.0,2.0,12.0,99.994
2024-11-22,UW.MBW.01.EHZ.M,0.0,3356.0,3.0,19.0,99.984
2024-11-21,UW.MBW.01.EHZ.M,0.0,3357.0,4.0,14.0,99.748
2024-11-20,UW.MBW.01.EHZ.M,0.0,3362.0,5.0,16.0,99.992
2024-11-19,UW.MBW.01.EHZ.M,0.0,3364.0,5.0,10.0,99.993
2024-11-18,UW.MBW.01.EHZ.M,0.0,3363.0,3.0,13.0,99.986
2024-11-17,UW.MBW.01.EHZ.M,0.0,3361.0,5.0,18.0,99.733
