phase,time,index,confidence
P,2022-12-26T00:04:36.800000Z,27680,0.105
P,2022-12-26T00:06:01.880000Z,36188,0.108
P,2022-12-26T00:10:44.440000Z,64444,0.100
P,2022-12-26T00:15:12.140000Z,91214,0.139
P,2022-12-26T00:17:41.430000Z,106143,0.262
P,2022-12-26T00:18:47.250000Z,112725,0.155
P,2022-12-26T00:22:41.660000Z,136166,0.147
P,2022-12-26T00:24:20.960000Z,146096,0.186
P,2022-12-26T00:29:13.550000Z,175355,0.349
P,2022-12-26T00:29:29.270000Z,176927,0.236
P,2022-12-26T00:33:09.540000Z,198954,0.127
P,2022-12-26T00:36:52.980000Z,221298,0.256
P,2022-12-26T00:36:59.010000Z,221901,0.106
P,2022-12-26T00:37:36.830000Z,225683,0.141
P,2022-12-26T00:38:59.010000Z,233901,0.263
P,2022-12-26T00:39:30.500000Z,237050,0.101
P,2022-12-26T00:44:30.280000Z,267028,0.101
P,2022-12-26T00:45:57.800000Z,275780,0.200
P,2022-12-26T00:46:21.700000Z,278170,0.232
P,2022-12-26T00:46:57.490000Z,281749,0.106
P,2022-12-26T00:48:14.330000Z,289433,0.221
P,2022-12-26T00:50:23.720000Z,302372,0.113
P,2022-12-26T00:52:28.600000Z,314860,0.389
P,2022-12-26T00:53:15.010000Z,319501,0.241
P,2022-12-26T00:53:36.420000Z,321642,0.126
P,2022-12-26T00:55:12.460000Z,331246,0.101
P,2022-12-26T00:55:16.780000Z,331678,0.185
P,2022-12-26T00:55:31.760000Z,333176,0.109
P,2022-12-26T00:55:40.550000Z,334055,0.135
P,2022-12-26T00:57:09.040000Z,342904,0.217
P,2022-12-26T00:58:23.760000Z,350376,0.207
P,2022-12-26T00:58:27.550000Z,350755,0.255
P,2022-12-26T00:59:11.900000Z,355190,0.131
P,2022-12-26T00:59:45.270000Z,358527,0.132
P,2022-12-26T01:01:47.020000Z,370702,0.178
P,2022-12-26T01:02:08.200000Z,372820,0.150
P,2022-12-26T01:02:59.080000Z,377908,0.102
P,2022-12-26T01:03:50.790000Z,383079,0.195
P,2022-12-26T01:03:53.270000Z,383327,0.153
P,2022-12-26T01:04:49.050000Z,388905,0.139
P,2022-12-26T01:05:05.140000Z,390514,0.111
P,2022-12-26T01:05:44.810000Z,394481,0.133
P,2022-12-26T01:06:35.170000Z,399517,0.127
P,2022-12-26T01:07:48.390000Z,406839,0.382
P,2022-12-26T01:12:30.580000Z,435058,0.106
P,2022-12-26T01:13:35.790000Z,441579,0.145
P,2022-12-26T01:14:07.240000Z,444724,0.137
P,2022-12-26T01:14:32.130000Z,447213,0.142
