phase,time,index,confidence
P,2022-12-21T00:00:08.570000Z,857,0.196
P,2022-12-21T00:00:30.610000Z,3061,0.446
P,2022-12-21T00:01:49.550000Z,10955,0.114
P,2022-12-21T00:02:01.480000Z,12148,0.196
P,2022-12-21T00:02:09.970000Z,12997,0.232
P,2022-12-21T00:02:13.640000Z,13364,0.461
P,2022-12-21T00:02:23.480000Z,14348,0.132
P,2022-12-21T00:02:30.050000Z,15005,0.214
P,2022-12-21T00:02:37.390000Z,15739,0.229
P,2022-12-21T00:02:49.260000Z,16926,0.332
P,2022-12-21T00:02:55.110000Z,17511,0.104
P,2022-12-21T00:02:58.690000Z,17869,0.171
P,2022-12-21T00:03:06.610000Z,18661,0.309
P,2022-12-21T00:03:16.160000Z,19616,0.167
P,2022-12-21T00:03:28.060000Z,20806,0.109
P,2022-12-21T00:03:32.320000Z,21232,0.177
P,2022-12-21T00:03:40.190000Z,22019,0.228
P,2022-12-21T00:03:48.630000Z,22863,0.111
P,2022-12-21T00:04:23.760000Z,26376,0.522
P,2022-12-21T00:04:31.750000Z,27175,0.105
P,2022-12-21T00:04:57.140000Z,29714,0.306
P,2022-12-21T00:05:01.280000Z,30128,0.173
P,2022-12-21T00:05:09.180000Z,30918,0.128
P,2022-12-21T00:05:12.270000Z,31227,0.254
P,2022-12-21T00:05:14.100000Z,31410,0.420
P,2022-12-21T00:05:21.180000Z,32118,0.266
P,2022-12-21T00:05:42.650000Z,34265,0.129
P,2022-12-21T00:05:51.890000Z,35189,0.184
P,2022-12-21T00:06:10.690000Z,37069,0.415
P,2022-12-21T00:06:12.600000Z,37260,0.176
P,2022-12-21T00:06:14.820000Z,37482,0.255
P,2022-12-21T00:07:28.850000Z,44885,0.562
P,2022-12-21T00:07:48.230000Z,46823,0.116
P,2022-12-21T00:07:53.580000Z,47358,0.343
P,2022-12-21T00:07:59.930000Z,47993,0.112
P,2022-12-21T00:08:01.280000Z,48128,0.445
P,2022-12-21T00:08:06.640000Z,48664,0.215
P,2022-12-21T00:08:08.760000Z,48876,0.395
