phase,time,index,confidence
P,2022-12-22T00:01:12.493130Z,7249,0.772
P,2022-12-22T00:01:32.913130Z,9291,0.130
P,2022-12-22T00:01:52.333130Z,11233,0.559
P,2022-12-22T00:04:19.143130Z,25914,0.226
P,2022-12-22T00:09:20.173130Z,56017,0.108
P,2022-12-22T00:09:37.023130Z,57702,0.180
P,2022-12-22T00:09:58.213130Z,59821,0.274
P,2022-12-22T00:10:27.413130Z,62741,0.161
P,2022-12-22T00:11:29.983130Z,68998,0.113
P,2022-12-22T00:13:10.513130Z,79051,0.114
P,2022-12-22T00:13:16.413130Z,79641,0.138
P,2022-12-22T00:13:40.683130Z,82068,0.392
P,2022-12-22T00:14:02.003130Z,84200,0.573
P,2022-12-22T00:14:29.413130Z,86941,0.172
P,2022-12-22T00:15:47.423130Z,94742,0.176
P,2022-12-22T00:16:20.323130Z,98032,0.207
P,2022-12-22T00:16:54.023130Z,101402,0.335
P,2022-12-22T00:17:11.223130Z,103122,0.238
P,2022-12-22T00:17:19.233130Z,103923,0.414
P,2022-12-22T00:19:07.103130Z,114710,0.455
P,2022-12-22T00:19:18.303130Z,115830,0.272
P,2022-12-22T00:19:25.983130Z,116598,0.489
P,2022-12-22T00:20:42.893130Z,124289,0.112
P,2022-12-22T00:20:46.893130Z,124689,0.438
P,2022-12-22T00:21:09.263130Z,126926,0.340
P,2022-12-22T00:21:23.153130Z,128315,0.124
P,2022-12-22T00:23:12.383130Z,139238,0.119
P,2022-12-22T00:23:57.193130Z,143719,0.113
P,2022-12-22T00:24:03.613130Z,144361,0.285
P,2022-12-22T00:24:38.023130Z,147802,0.278
P,2022-12-22T00:24:39.943130Z,147994,0.115
P,2022-12-22T00:24:46.003130Z,148600,0.220
P,2022-12-22T00:24:49.833130Z,148983,0.104
P,2022-12-22T00:25:42.683130Z,154268,0.223
P,2022-12-22T00:26:28.943130Z,158894,0.236
P,2022-12-22T00:26:59.643130Z,161964,0.139
P,2022-12-22T00:30:08.103130Z,180810,0.136
P,2022-12-22T00:30:46.413130Z,184641,0.318
P,2022-12-22T00:30:50.763130Z,185076,0.169
P,2022-12-22T00:31:17.683130Z,187768,0.139
P,2022-12-22T00:31:58.633130Z,191863,0.481
P,2022-12-22T00:32:32.753130Z,195275,0.218
P,2022-12-22T00:32:51.603130Z,197160,0.135
P,2022-12-22T00:32:56.893130Z,197689,0.127
P,2022-12-22T00:33:11.883130Z,199188,0.738
P,2022-12-22T00:33:57.243130Z,203724,0.138
P,2022-12-22T00:34:02.433130Z,204243,0.689
P,2022-12-22T00:34:28.043130Z,206804,0.309
P,2022-12-22T00:35:22.223130Z,212222,0.486
P,2022-12-22T00:35:41.453130Z,214145,0.184
P,2022-12-22T00:36:12.093130Z,217209,0.122
P,2022-12-22T00:36:53.323130Z,221332,0.230
P,2022-12-22T00:36:56.923130Z,221692,0.129
P,2022-12-22T00:38:27.003130Z,230700,0.544
P,2022-12-22T00:38:36.323130Z,231632,0.910
P,2022-12-22T00:38:38.883130Z,231888,0.913
P,2022-12-22T00:38:52.033130Z,233203,0.420
P,2022-12-22T00:40:34.493130Z,243449,0.106
P,2022-12-22T00:41:30.583130Z,249058,0.155
P,2022-12-22T00:41:52.283130Z,251228,0.494
P,2022-12-22T00:42:30.633130Z,255063,0.522
P,2022-12-22T00:42:32.723130Z,255272,0.488
P,2022-12-22T00:42:45.303130Z,256530,0.241
P,2022-12-22T00:42:50.593130Z,257059,0.108
P,2022-12-22T00:43:03.093130Z,258309,0.184
P,2022-12-22T00:43:28.883130Z,260888,0.273
P,2022-12-22T00:43:40.723130Z,262072,0.101
P,2022-12-22T00:44:41.933130Z,268193,0.109
P,2022-12-22T00:44:44.663130Z,268466,0.110
P,2022-12-22T00:44:46.753130Z,268675,0.113
P,2022-12-22T00:46:06.203130Z,276620,0.119
P,2022-12-22T00:46:19.003130Z,277900,0.108
P,2022-12-22T00:46:21.253130Z,278125,0.441
P,2022-12-22T00:46:26.363130Z,278636,0.233
P,2022-12-22T00:46:28.803130Z,278880,0.102
P,2022-12-22T00:46:32.623130Z,279262,0.405
P,2022-12-22T00:46:35.073130Z,279507,0.399
P,2022-12-22T00:46:37.643130Z,279764,0.619
P,2022-12-22T00:46:39.113130Z,279911,0.359
P,2022-12-22T00:46:40.943130Z,280094,0.166
P,2022-12-22T00:46:44.403130Z,280440,0.105
P,2022-12-22T00:47:01.113130Z,282111,0.295
P,2022-12-22T00:47:13.443130Z,283344,0.966
P,2022-12-22T00:47:17.563130Z,283756,0.206
P,2022-12-22T00:47:20.513130Z,284051,0.756
P,2022-12-22T00:47:24.803130Z,284480,0.122
P,2022-12-22T00:47:29.693130Z,284969,0.903
P,2022-12-22T00:47:39.013130Z,285901,0.670
P,2022-12-22T00:47:42.133130Z,286213,0.541
P,2022-12-22T00:48:51.923130Z,293192,0.790
P,2022-12-22T00:49:10.553130Z,295055,0.764
P,2022-12-22T00:49:43.803130Z,298380,0.107
P,2022-12-22T00:49:53.793130Z,299379,0.206
P,2022-12-22T00:50:04.283130Z,300428,0.854
P,2022-12-22T00:50:23.873130Z,302387,0.108
P,2022-12-22T00:50:33.733130Z,303373,0.103
P,2022-12-22T00:50:43.343130Z,304334,0.186
P,2022-12-22T00:50:49.093130Z,304909,0.371
P,2022-12-22T00:51:00.693130Z,306069,0.114
P,2022-12-22T00:51:31.843130Z,309184,0.102
P,2022-12-22T00:51:44.953130Z,310495,0.384
P,2022-12-22T00:51:47.033130Z,310703,0.390
