phase,time,index,confidence
P,2022-12-23T00:00:17.910000Z,1791,0.119
P,2022-12-23T00:01:14.740000Z,7474,0.106
P,2022-12-23T00:01:38.500000Z,9850,0.120
P,2022-12-23T00:01:44.590000Z,10459,0.108
P,2022-12-23T00:01:51.390000Z,11139,0.384
P,2022-12-23T00:02:00.190000Z,12019,0.125
P,2022-12-23T00:03:14.130000Z,19413,0.138
P,2022-12-23T00:04:11.870000Z,25187,0.144
P,2022-12-23T00:04:27.640000Z,26764,0.119
P,2022-12-23T00:04:42.570000Z,28257,0.118
P,2022-12-23T00:05:00.240000Z,30024,0.360
P,2022-12-23T00:05:30.260000Z,33026,0.119
P,2022-12-23T00:06:03.560000Z,36356,0.121
P,2022-12-23T00:06:32.530000Z,39253,0.459
P,2022-12-23T00:06:41.480000Z,40148,0.188
P,2022-12-23T00:07:13.320000Z,43332,0.138
P,2022-12-23T00:07:59.270000Z,47927,0.112
P,2022-12-23T00:08:30.760000Z,51076,0.154
P,2022-12-23T00:09:16.340000Z,55634,0.113
P,2022-12-23T00:09:30.410000Z,57041,0.239
P,2022-12-23T00:10:08.600000Z,60860,0.102
P,2022-12-23T00:12:00.400000Z,72040,0.276
P,2022-12-23T00:12:26.800000Z,74680,0.103
P,2022-12-23T00:14:30.440000Z,87044,0.152
P,2022-12-23T00:14:51.250000Z,89125,0.131
P,2022-12-23T00:15:22.300000Z,92230,0.114
P,2022-12-23T00:15:28.920000Z,92892,0.129
P,2022-12-23T00:15:30.460000Z,93046,0.154
P,2022-12-23T00:17:58.340000Z,107834,0.133
P,2022-12-23T00:20:00.550000Z,120055,0.177
P,2022-12-23T00:20:20.500000Z,122050,0.163
P,2022-12-23T00:20:30.560000Z,123056,0.129
P,2022-12-23T00:21:21.380000Z,128138,0.105
P,2022-12-23T00:21:30.580000Z,129058,0.103
P,2022-12-23T00:22:12.440000Z,133244,0.115
P,2022-12-23T00:22:49.160000Z,136916,0.143
P,2022-12-23T00:22:56.210000Z,137621,0.114
P,2022-12-23T00:23:00.610000Z,138061,0.323
P,2022-12-23T00:26:33.890000Z,159389,0.129
P,2022-12-23T00:27:00.750000Z,162075,0.126
P,2022-12-23T00:27:12.300000Z,163230,0.104
P,2022-12-23T00:27:28.860000Z,164886,0.158
P,2022-12-23T00:28:00.710000Z,168071,0.118
P,2022-12-23T00:28:17.130000Z,169713,0.262
P,2022-12-23T00:29:00.810000Z,174081,0.138
P,2022-12-23T00:29:30.810000Z,177081,0.145
P,2022-12-23T00:30:31.600000Z,183160,0.265
P,2022-12-23T00:30:37.490000Z,183749,0.125
P,2022-12-23T00:31:24.250000Z,188425,0.161
P,2022-12-23T00:31:27.020000Z,188702,0.166
P,2022-12-23T00:32:01.280000Z,192128,0.118
P,2022-12-23T00:32:55.600000Z,197560,0.104
