phase,time,index,confidence
P,2022-12-22T00:00:39.293131Z,3929,0.616
P,2022-12-22T00:01:39.163131Z,9916,0.157
P,2022-12-22T00:03:28.073131Z,20807,0.640
P,2022-12-22T00:04:03.723131Z,24372,0.777
P,2022-12-22T00:04:24.203131Z,26420,0.917
P,2022-12-22T00:05:20.433131Z,32043,0.197
P,2022-12-22T00:08:24.753131Z,50475,0.638
P,2022-12-22T00:09:27.403131Z,56740,0.873
P,2022-12-22T00:11:59.953131Z,71995,0.107
P,2022-12-22T00:16:09.133131Z,96913,0.155
P,2022-12-22T00:16:38.753131Z,99875,0.270
P,2022-12-22T00:16:45.873131Z,100587,0.129
P,2022-12-22T00:18:18.443131Z,109844,0.320
P,2022-12-22T00:18:23.163131Z,110316,0.107
P,2022-12-22T00:18:25.313131Z,110531,0.212
P,2022-12-22T00:18:27.623131Z,110762,0.354
P,2022-12-22T00:18:46.383131Z,112638,0.178
P,2022-12-22T00:18:50.853131Z,113085,0.337
P,2022-12-22T00:18:57.103131Z,113710,0.218
P,2022-12-22T00:19:02.613131Z,114261,0.172
P,2022-12-22T00:19:06.783131Z,114678,0.145
P,2022-12-22T00:19:26.263131Z,116626,0.586
P,2022-12-22T00:19:37.873131Z,117787,0.484
P,2022-12-22T00:19:40.383131Z,118038,0.241
P,2022-12-22T00:19:47.343131Z,118734,0.188
P,2022-12-22T00:19:54.873131Z,119487,0.133
P,2022-12-22T00:20:31.693131Z,123169,0.906
P,2022-12-22T00:20:45.773131Z,124577,0.511
P,2022-12-22T00:20:53.613131Z,125361,0.606
P,2022-12-22T00:21:00.143131Z,126014,0.700
P,2022-12-22T00:21:06.523131Z,126652,0.276
P,2022-12-22T00:21:46.233131Z,130623,0.135
P,2022-12-22T00:22:27.623131Z,134762,0.108
P,2022-12-22T00:22:46.833131Z,136683,0.228
P,2022-12-22T00:23:53.353131Z,143335,0.126
P,2022-12-22T00:26:29.093131Z,158909,0.283
P,2022-12-22T00:26:53.743131Z,161374,0.372
P,2022-12-22T00:28:33.403131Z,171340,0.101
P,2022-12-22T00:30:34.163131Z,183416,0.791
P,2022-12-22T00:30:43.783131Z,184378,0.569
P,2022-12-22T00:31:22.543131Z,188254,0.327
P,2022-12-22T00:31:35.603131Z,189560,0.168
P,2022-12-22T00:31:45.363131Z,190536,0.191
P,2022-12-22T00:32:29.773131Z,194977,0.188
P,2022-12-22T00:32:38.503131Z,195850,0.132
P,2022-12-22T00:33:41.413131Z,202141,0.843
P,2022-12-22T00:34:15.343131Z,205534,0.599
P,2022-12-22T00:36:23.043131Z,218304,0.548
P,2022-12-22T00:36:35.793131Z,219579,0.261
P,2022-12-22T00:39:03.963131Z,234396,0.105
P,2022-12-22T00:39:08.153131Z,234815,0.198
P,2022-12-22T00:39:10.383131Z,235038,0.102
P,2022-12-22T00:40:28.813131Z,242881,0.504
P,2022-12-22T00:42:45.043131Z,256504,0.301
P,2022-12-22T00:42:49.733131Z,256973,0.152
P,2022-12-22T00:43:31.363131Z,261136,0.226
P,2022-12-22T00:46:18.523131Z,277852,0.215
P,2022-12-22T00:46:20.153131Z,278015,0.196
P,2022-12-22T00:46:23.303131Z,278330,0.161
P,2022-12-22T00:46:27.133131Z,278713,0.641
P,2022-12-22T00:46:31.353131Z,279135,0.517
P,2022-12-22T00:46:34.603131Z,279460,0.698
P,2022-12-22T00:46:37.543131Z,279754,0.187
P,2022-12-22T00:46:38.743131Z,279874,0.113
P,2022-12-22T00:47:05.583131Z,282558,0.131
P,2022-12-22T00:48:23.853131Z,290385,0.188
P,2022-12-22T00:48:34.043131Z,291404,0.677
P,2022-12-22T00:49:47.793131Z,298779,0.573
P,2022-12-22T00:50:12.673131Z,301267,0.113
P,2022-12-22T00:50:17.163131Z,301716,0.452
P,2022-12-22T00:50:58.383131Z,305838,0.234
P,2022-12-22T00:51:00.623131Z,306062,0.851
P,2022-12-22T00:51:56.883131Z,311688,0.423
P,2022-12-22T00:52:43.203131Z,316320,0.830
P,2022-12-22T00:53:29.553131Z,320955,0.267
P,2022-12-22T00:55:14.873131Z,331487,0.340
P,2022-12-22T00:56:35.463131Z,339546,0.147
P,2022-12-22T00:56:43.323131Z,340332,0.681
P,2022-12-22T00:58:57.533131Z,353753,0.353
P,2022-12-22T00:59:21.143131Z,356114,0.320
P,2022-12-22T00:59:47.323131Z,358732,0.769
P,2022-12-22T01:00:07.723131Z,360772,0.867
P,2022-12-22T01:00:21.673131Z,362167,0.114
P,2022-12-22T01:01:20.333131Z,368033,0.122
P,2022-12-22T01:01:37.903131Z,369790,0.136
P,2022-12-22T01:02:25.563131Z,374556,0.110
P,2022-12-22T01:02:33.303131Z,375330,0.785
P,2022-12-22T01:03:51.393131Z,383139,0.119
P,2022-12-22T01:06:31.083131Z,399108,0.164
P,2022-12-22T01:08:37.943131Z,411794,0.211
P,2022-12-22T01:08:52.173131Z,413217,0.601
P,2022-12-22T01:09:30.183131Z,417018,0.126
P,2022-12-22T01:11:06.153131Z,426615,0.599
P,2022-12-22T01:11:50.393131Z,431039,0.608
P,2022-12-22T01:13:45.873131Z,442587,0.856
P,2022-12-22T01:14:01.483131Z,444148,0.129
P,2022-12-22T01:16:46.333131Z,460633,0.106
P,2022-12-22T01:19:08.633131Z,474863,0.139
P,2022-12-22T01:20:17.163131Z,481716,0.108
P,2022-12-22T01:21:01.353131Z,486135,0.134
P,2022-12-22T01:21:36.233131Z,489623,0.918
P,2022-12-22T01:21:45.893131Z,490589,0.169
P,2022-12-22T01:23:12.383131Z,499238,0.185
P,2022-12-22T01:25:34.973131Z,513497,0.238
P,2022-12-22T01:25:46.773131Z,514677,0.214
P,2022-12-22T01:27:15.683131Z,523568,0.272
P,2022-12-22T01:27:31.463131Z,525146,0.114
P,2022-12-22T01:29:21.803131Z,536180,0.663
P,2022-12-22T01:31:07.583131Z,546758,0.141
P,2022-12-22T01:31:56.793131Z,551679,0.315
P,2022-12-22T01:32:07.933131Z,552793,0.119
P,2022-12-22T01:32:26.273131Z,554627,0.239
P,2022-12-22T01:32:31.563131Z,555156,0.116
P,2022-12-22T01:36:30.253131Z,579025,0.107
P,2022-12-22T01:36:46.663131Z,580666,0.298
P,2022-12-22T01:38:23.343131Z,590334,0.176
P,2022-12-22T01:38:33.263131Z,591326,0.766
P,2022-12-22T01:38:44.303131Z,592430,0.392
P,2022-12-22T01:38:49.543131Z,592954,0.638
P,2022-12-22T01:38:58.703131Z,593870,0.410
P,2022-12-22T01:39:01.703131Z,594170,0.125
P,2022-12-22T01:40:01.673131Z,600167,0.529
P,2022-12-22T01:42:11.973131Z,613197,0.139
P,2022-12-22T01:44:35.293131Z,627529,0.104
P,2022-12-22T01:50:12.123131Z,661212,0.405
P,2022-12-22T01:50:31.963131Z,663196,0.252
P,2022-12-22T01:51:34.473131Z,669447,0.334
P,2022-12-22T01:53:17.933131Z,679793,0.103
P,2022-12-22T01:55:34.073131Z,693407,0.138
P,2022-12-22T01:56:08.093131Z,696809,0.131
P,2022-12-22T01:56:35.223131Z,699522,0.129
P,2022-12-22T01:57:16.383131Z,703638,0.425
P,2022-12-22T01:58:12.063131Z,709206,0.150
P,2022-12-22T01:58:29.243131Z,710924,0.388
P,2022-12-22T02:00:39.033131Z,723903,0.753
P,2022-12-22T02:00:53.043131Z,725304,0.628
P,2022-12-22T02:03:01.573131Z,738157,0.214
P,2022-12-22T02:03:19.753131Z,739975,0.207
P,2022-12-22T02:03:34.423131Z,741442,0.761
P,2022-12-22T02:03:47.683131Z,742768,0.142
P,2022-12-22T02:04:19.923131Z,745992,0.576
P,2022-12-22T02:04:31.233131Z,747123,0.456
P,2022-12-22T02:04:56.413131Z,749641,0.113
P,2022-12-22T02:05:01.053131Z,750105,0.268
P,2022-12-22T02:05:28.713131Z,752871,0.415
P,2022-12-22T02:08:43.293131Z,772329,0.463
P,2022-12-22T02:09:49.103131Z,778910,0.158
P,2022-12-22T02:10:27.733131Z,782773,0.224
P,2022-12-22T02:10:30.763131Z,783076,0.138
P,2022-12-22T02:10:37.253131Z,783725,0.276
P,2022-12-22T02:10:39.653131Z,783965,0.246
P,2022-12-22T02:10:58.063131Z,785806,0.486
P,2022-12-22T02:11:10.843131Z,787084,0.119
P,2022-12-22T02:11:36.713131Z,789671,0.186
P,2022-12-22T02:18:00.283131Z,828028,0.121
P,2022-12-22T02:18:11.483131Z,829148,0.557
P,2022-12-22T02:18:42.853131Z,832285,0.444
P,2022-12-22T02:18:45.243131Z,832524,0.124
P,2022-12-22T02:19:28.303131Z,836830,0.109
P,2022-12-22T02:20:00.873131Z,840087,0.143
P,2022-12-22T02:20:18.803131Z,841880,0.249
P,2022-12-22T02:20:21.523131Z,842152,0.449
P,2022-12-22T02:20:29.203131Z,842920,0.134
P,2022-12-22T02:21:14.363131Z,847436,0.191
P,2022-12-22T02:21:43.513131Z,850351,0.357
P,2022-12-22T02:21:59.563131Z,851956,0.278
P,2022-12-22T02:22:11.173131Z,853117,0.135
P,2022-12-22T02:23:17.603131Z,859760,0.179
P,2022-12-22T02:24:32.583131Z,867258,0.283
P,2022-12-22T02:27:20.303131Z,884030,0.120
P,2022-12-22T02:28:13.543131Z,889354,0.163
P,2022-12-22T02:28:56.613131Z,893661,0.624
P,2022-12-22T02:31:54.253131Z,911425,0.542
P,2022-12-22T02:31:58.753131Z,911875,0.220
P,2022-12-22T02:32:00.543131Z,912054,0.106
P,2022-12-22T02:32:03.613131Z,912361,0.472
P,2022-12-22T02:35:13.023131Z,931302,0.156
P,2022-12-22T02:37:08.423131Z,942842,0.411
P,2022-12-22T02:37:40.003131Z,946000,0.517
P,2022-12-22T02:38:15.153131Z,949515,0.172
P,2022-12-22T02:43:13.023131Z,979302,0.318
P,2022-12-22T02:43:52.393131Z,983239,0.376
P,2022-12-22T02:46:21.423131Z,998142,0.140
P,2022-12-22T02:46:47.653131Z,1000765,0.121
P,2022-12-22T02:49:51.793131Z,1019179,0.224
P,2022-12-22T02:50:23.443131Z,1022344,0.354
P,2022-12-22T02:55:31.913131Z,1053191,0.229
P,2022-12-22T03:01:20.433131Z,1088043,0.235
P,2022-12-22T03:02:15.403131Z,1093540,0.177
P,2022-12-22T03:03:52.533131Z,1103253,0.383
P,2022-12-22T03:04:15.153131Z,1105515,0.169
P,2022-12-22T03:04:33.443131Z,1107344,0.186
P,2022-12-22T03:08:26.023131Z,1130602,0.253
P,2022-12-22T03:14:05.933131Z,1164593,0.352
P,2022-12-22T03:15:11.753131Z,1171175,0.491
