phase,time,index,confidence
P,2022-12-20T00:04:56.010470Z,29601,0.196
P,2022-12-20T00:06:37.930470Z,39793,0.864
P,2022-12-20T00:13:52.840470Z,83284,0.255
P,2022-12-20T00:18:04.040470Z,108404,0.107
P,2022-12-20T00:18:22.840470Z,110284,0.173
P,2022-12-20T00:21:01.640470Z,126164,0.118
P,2022-12-20T00:27:13.810470Z,163381,0.264
P,2022-12-20T00:27:16.380470Z,163638,0.101
P,2022-12-20T00:33:12.340470Z,199234,0.177
P,2022-12-20T00:38:16.000470Z,229600,0.881
P,2022-12-20T00:39:41.200470Z,238120,0.157
P,2022-12-20T00:45:32.990470Z,273299,0.100
P,2022-12-20T00:48:39.830470Z,291983,0.122
P,2022-12-20T00:49:11.380470Z,295138,0.111
P,2022-12-20T00:55:03.990470Z,330399,0.197
P,2022-12-20T00:55:07.190470Z,330719,0.640
P,2022-12-20T00:55:08.610470Z,330861,0.817
P,2022-12-20T00:55:11.180470Z,331118,0.493
P,2022-12-20T00:55:33.830470Z,333383,0.121
P,2022-12-20T00:57:05.300470Z,342530,0.128
P,2022-12-20T00:59:30.940470Z,357094,0.103
P,2022-12-20T01:03:45.870470Z,382587,0.328
P,2022-12-20T01:03:47.230470Z,382723,0.248
P,2022-12-20T01:03:59.440470Z,383944,0.157
P,2022-12-20T01:04:05.150470Z,384515,0.199
P,2022-12-20T01:05:48.380470Z,394838,0.216
P,2022-12-20T01:09:45.980470Z,418598,0.165
P,2022-12-20T01:12:53.220470Z,437322,0.315
P,2022-12-20T01:14:03.250470Z,444325,0.201
P,2022-12-20T01:16:01.930470Z,456193,0.245
P,2022-12-20T01:16:18.160470Z,457816,0.132
P,2022-12-20T01:16:25.280470Z,458528,0.198
P,2022-12-20T01:16:49.850470Z,460985,0.162
P,2022-12-20T01:17:37.990470Z,465799,0.176
P,2022-12-20T01:17:40.590470Z,466059,0.106
P,2022-12-20T01:17:51.800470Z,467180,0.681
P,2022-12-20T01:17:54.360470Z,467436,0.265
P,2022-12-20T01:19:38.630470Z,477863,0.164
P,2022-12-20T01:28:19.340470Z,529934,0.117
P,2022-12-20T01:28:36.060470Z,531606,0.115
P,2022-12-20T01:29:56.240470Z,539624,0.759
P,2022-12-20T01:31:33.110470Z,549311,0.159
P,2022-12-20T01:33:15.470470Z,559547,0.316
P,2022-12-20T01:33:55.450470Z,563545,0.161
P,2022-12-20T01:33:57.890470Z,563789,0.138
P,2022-12-20T01:34:16.430470Z,565643,0.212
P,2022-12-20T01:35:16.600470Z,571660,0.103
P,2022-12-20T01:36:26.720470Z,578672,0.142
P,2022-12-20T01:37:32.750470Z,585275,0.127
P,2022-12-20T01:39:36.070470Z,597607,0.616
P,2022-12-20T01:44:58.440470Z,629844,0.232
P,2022-12-20T01:46:50.060470Z,641006,0.298
P,2022-12-20T01:46:54.490470Z,641449,0.264
P,2022-12-20T01:47:02.910470Z,642291,0.120
P,2022-12-20T01:47:10.620470Z,643062,0.171
P,2022-12-20T01:47:11.740470Z,643174,0.557
P,2022-12-20T01:47:13.500470Z,643350,0.277
P,2022-12-20T01:47:15.560470Z,643556,0.109
P,2022-12-20T01:47:24.450470Z,644445,0.168
P,2022-12-20T01:47:34.860470Z,645486,0.223
P,2022-12-20T01:48:28.580470Z,650858,0.104
P,2022-12-20T01:51:59.030470Z,671903,0.295
P,2022-12-20T02:04:54.660470Z,749466,0.405
P,2022-12-20T02:05:45.310470Z,754531,0.126
P,2022-12-20T02:11:49.200470Z,790920,0.271
P,2022-12-20T02:13:37.630470Z,801763,0.378
P,2022-12-20T02:16:06.260470Z,816626,0.218
P,2022-12-20T02:16:34.480470Z,819448,0.115
P,2022-12-20T02:17:12.660470Z,823266,0.233
