phase,time,index,confidence
P,2022-12-20T00:13:28.740470Z,80874,0.140
P,2022-12-20T00:14:20.760470Z,86076,0.105
P,2022-12-20T00:14:24.350470Z,86435,0.213
P,2022-12-20T00:14:44.050470Z,88405,0.179
P,2022-12-20T00:14:51.410470Z,89141,0.156
P,2022-12-20T00:53:58.580470Z,323858,0.129
P,2022-12-20T00:56:25.040470Z,338504,0.137
P,2022-12-20T01:11:57.980470Z,431798,0.101
P,2022-12-20T02:04:46.090470Z,748609,0.115
P,2022-12-20T02:11:13.650470Z,787365,0.113
P,2022-12-20T02:27:03.650470Z,882365,0.124
P,2022-12-20T02:28:07.760470Z,888776,0.132
P,2022-12-20T02:36:13.360470Z,937336,0.118
P,2022-12-20T02:45:02.090470Z,990209,0.101
P,2022-12-20T02:48:34.550470Z,1011455,0.112
P,2022-12-20T03:04:34.560470Z,1107456,0.199
P,2022-12-20T03:07:09.020470Z,1122902,0.131
P,2022-12-20T03:09:37.210470Z,1137721,0.138
P,2022-12-20T03:28:07.140470Z,1248714,0.103
P,2022-12-20T03:40:55.430470Z,1325543,0.102
P,2022-12-20T03:47:12.540470Z,1363254,0.111
P,2022-12-20T03:51:04.510470Z,1386451,0.102
P,2022-12-20T04:28:05.330470Z,1608533,0.217
P,2022-12-20T04:28:37.770470Z,1611777,0.103
P,2022-12-20T04:30:32.760470Z,1623276,0.135
P,2022-12-20T04:30:36.950470Z,1623695,0.147
P,2022-12-20T04:30:46.300470Z,1624630,0.214
P,2022-12-20T04:31:12.000470Z,1627200,0.166
P,2022-12-20T04:31:43.400470Z,1630340,0.119
P,2022-12-20T04:44:00.950470Z,1704095,0.132
P,2022-12-20T04:46:28.130470Z,1718813,0.138
P,2022-12-20T04:51:48.150470Z,1750815,0.148
P,2022-12-20T04:52:10.860470Z,1753086,0.107
P,2022-12-20T05:02:42.200470Z,1816220,0.170
P,2022-12-20T05:07:00.030470Z,1842003,0.104
P,2022-12-20T05:11:39.590470Z,1869959,0.148
P,2022-12-20T05:12:18.880470Z,1873888,0.131
P,2022-12-20T05:13:39.310470Z,1881931,0.121
P,2022-12-20T05:16:36.320470Z,1899632,0.102
P,2022-12-20T05:21:17.460470Z,1927746,0.103
P,2022-12-20T05:39:17.400470Z,2035740,0.108
P,2022-12-20T05:41:27.200470Z,2048720,0.235
P,2022-12-20T05:53:32.820470Z,2121282,0.181
P,2022-12-20T06:03:19.580470Z,2179958,0.121
P,2022-12-20T06:09:16.430470Z,2215643,0.275
P,2022-12-20T06:11:33.180470Z,2229318,0.100
P,2022-12-20T06:12:06.080470Z,2232608,0.369
P,2022-12-20T06:12:36.560470Z,2235656,0.125
P,2022-12-20T06:33:07.750470Z,2358775,0.104
P,2022-12-20T06:39:00.690470Z,2394069,0.129
P,2022-12-20T06:58:02.510470Z,2508251,0.152
P,2022-12-20T07:00:31.770470Z,2523177,0.103
P,2022-12-20T07:18:59.730470Z,2633973,0.129
P,2022-12-20T07:29:26.900470Z,2696690,0.133
P,2022-12-20T07:32:23.440470Z,2714344,0.102
P,2022-12-20T07:34:42.290470Z,2728229,0.290
P,2022-12-20T08:30:58.400470Z,3065840,0.170
P,2022-12-20T09:28:52.270470Z,3413227,0.101
P,2022-12-20T09:29:27.900470Z,3416790,0.103
P,2022-12-20T09:47:09.950470Z,3522995,0.177
P,2022-12-20T09:47:12.380470Z,3523238,0.125
P,2022-12-20T09:47:35.990470Z,3525599,0.225
P,2022-12-20T09:49:03.300470Z,3534330,0.268
P,2022-12-20T10:23:13.160470Z,3739316,0.130
P,2022-12-20T10:50:19.140470Z,3901914,0.106
