phase,time,index,confidence
P,2022-12-21T00:06:00.340000Z,36034,0.109
P,2022-12-21T00:11:23.910000Z,68391,0.183
P,2022-12-21T00:12:29.340000Z,74934,0.137
P,2022-12-21T00:18:04.670000Z,108467,0.128
P,2022-12-21T00:19:17.890000Z,115789,0.198
P,2022-12-21T00:19:39.990000Z,117999,0.104
P,2022-12-21T00:20:09.340000Z,120934,0.107
P,2022-12-21T00:21:17.720000Z,127772,0.132
P,2022-12-21T00:23:16.600000Z,139660,0.115
P,2022-12-21T00:24:22.090000Z,146209,0.152
P,2022-12-21T00:26:49.090000Z,160909,0.117
P,2022-12-21T00:28:10.960000Z,169096,0.119
P,2022-12-21T00:36:05.020000Z,216502,0.126
P,2022-12-21T00:41:02.420000Z,246242,0.375
P,2022-12-21T00:51:01.240000Z,306124,0.102
P,2022-12-21T00:51:29.120000Z,308912,0.168
P,2022-12-21T00:57:46.180000Z,346618,0.160
P,2022-12-21T00:59:06.120000Z,354612,0.113
P,2022-12-21T01:00:39.970000Z,363997,0.122
P,2022-12-21T01:05:36.770000Z,393677,0.251
P,2022-12-21T01:06:59.660000Z,401966,0.139
P,2022-12-21T01:10:36.680000Z,423668,0.151
P,2022-12-21T01:11:45.830000Z,430583,0.102
P,2022-12-21T01:16:33.140000Z,459314,0.180
P,2022-12-21T01:20:07.680000Z,480768,0.126
P,2022-12-21T01:23:46.210000Z,502621,0.120
P,2022-12-21T01:28:10.760000Z,529076,0.320
P,2022-12-21T01:30:49.710000Z,544971,0.133
P,2022-12-21T01:31:54.070000Z,551407,0.120
P,2022-12-21T01:33:31.830000Z,561183,0.152
P,2022-12-21T01:38:36.590000Z,591659,0.155
P,2022-12-21T01:40:38.090000Z,603809,0.156
P,2022-12-21T02:06:29.560000Z,758956,0.109
P,2022-12-21T02:07:49.990000Z,766999,0.147
P,2022-12-21T02:18:53.090000Z,833309,0.113
P,2022-12-21T02:29:14.010000Z,895401,0.213
P,2022-12-21T02:42:07.590000Z,972759,0.201
P,2022-12-21T02:45:39.630000Z,993963,0.469
P,2022-12-21T02:46:41.650000Z,1000165,0.108
P,2022-12-21T02:48:43.430000Z,1012343,0.104
P,2022-12-21T02:56:13.340000Z,1057334,0.264
P,2022-12-21T02:56:53.090000Z,1061309,0.114
P,2022-12-21T02:58:30.280000Z,1071028,0.233
P,2022-12-21T03:01:34.270000Z,1089427,0.110
P,2022-12-21T03:04:17.420000Z,1105742,0.113
P,2022-12-21T03:05:25.440000Z,1112544,0.117
P,2022-12-21T03:07:44.470000Z,1126447,0.126
P,2022-12-21T03:12:13.760000Z,1153376,0.113
P,2022-12-21T03:13:15.550000Z,1159555,0.166
P,2022-12-21T03:16:35.300000Z,1179530,0.439
P,2022-12-21T03:30:51.810000Z,1265181,0.117
P,2022-12-21T03:36:50.510000Z,1301051,0.109
P,2022-12-21T03:48:44.810000Z,1372481,0.133
P,2022-12-21T03:49:46.810000Z,1378681,0.107
P,2022-12-21T03:59:35.450000Z,1437545,0.127
P,2022-12-21T04:04:33.060000Z,1467306,0.107
P,2022-12-21T04:15:08.620000Z,1530862,0.112
P,2022-12-21T04:15:41.840000Z,1534184,0.125
P,2022-12-21T04:16:38.970000Z,1539897,0.116
P,2022-12-21T04:19:04.750000Z,1554475,0.104
P,2022-12-21T04:19:30.780000Z,1557078,0.105
P,2022-12-21T04:21:10.970000Z,1567097,0.176
P,2022-12-21T04:21:51.550000Z,1571155,0.121
P,2022-12-21T04:24:37.380000Z,1587738,0.348
P,2022-12-21T04:30:45.960000Z,1624596,0.148
P,2022-12-21T04:32:08.700000Z,1632870,0.126
P,2022-12-21T04:34:16.040000Z,1645604,0.164
P,2022-12-21T04:35:23.800000Z,1652380,0.109
P,2022-12-21T04:37:13.220000Z,1663322,0.102
P,2022-12-21T04:37:59.070000Z,1667907,0.104
P,2022-12-21T04:38:10.370000Z,1669037,0.173
P,2022-12-21T04:49:38.440000Z,1737844,0.285
P,2022-12-21T04:53:38.750000Z,1761875,0.114
P,2022-12-21T04:54:49.680000Z,1768968,0.184
P,2022-12-21T04:56:24.980000Z,1778498,0.182
P,2022-12-21T05:00:28.880000Z,1802888,0.128
P,2022-12-21T05:03:37.530000Z,1821753,0.122
P,2022-12-21T05:03:52.950000Z,1823295,0.134
P,2022-12-21T05:13:21.950000Z,1880195,0.238
P,2022-12-21T05:19:41.050000Z,1918105,0.225
P,2022-12-21T05:29:10.900000Z,1975090,0.109
P,2022-12-21T05:31:12.540000Z,1987254,0.138
P,2022-12-21T05:35:30.740000Z,2013074,0.103
P,2022-12-21T05:37:29.500000Z,2024950,0.143
P,2022-12-21T05:38:51.810000Z,2033181,0.111
P,2022-12-21T05:53:20.030000Z,2120003,0.141
P,2022-12-21T06:01:01.830000Z,2166183,0.123
P,2022-12-21T06:08:05.110000Z,2208511,0.110
P,2022-12-21T06:08:45.230000Z,2212523,0.174
