phase,time,index,confidence
P,2022-12-26T00:02:15.890000Z,13589,0.110
P,2022-12-26T00:05:48.030000Z,34803,0.158
P,2022-12-26T00:06:12.940000Z,37294,0.139
P,2022-12-26T00:06:17.720000Z,37772,0.155
P,2022-12-26T00:06:29.150000Z,38915,0.283
P,2022-12-26T00:06:30.350000Z,39035,0.141
P,2022-12-26T00:06:40.450000Z,40045,0.313
P,2022-12-26T00:06:42.370000Z,40237,0.115
P,2022-12-26T00:07:45.350000Z,46535,0.170
P,2022-12-26T00:09:08.180000Z,54818,0.125
P,2022-12-26T00:12:25.360000Z,74536,0.162
P,2022-12-26T00:12:32.730000Z,75273,0.123
P,2022-12-26T00:12:49.790000Z,76979,0.146
P,2022-12-26T00:12:54.890000Z,77489,0.148
P,2022-12-26T00:14:28.580000Z,86858,0.114
P,2022-12-26T00:14:58.330000Z,89833,0.480
P,2022-12-26T00:15:28.620000Z,92862,0.115
P,2022-12-26T00:18:58.590000Z,113859,0.102
P,2022-12-26T00:20:01.370000Z,120137,0.102
P,2022-12-26T00:20:30.000000Z,123000,0.133
P,2022-12-26T00:22:12.950000Z,133295,0.259
P,2022-12-26T00:24:25.130000Z,146513,0.104
P,2022-12-26T00:25:00.310000Z,150031,0.181
P,2022-12-26T00:25:34.090000Z,153409,0.152
P,2022-12-26T00:29:31.710000Z,177171,0.163
P,2022-12-26T00:35:49.030000Z,214903,0.170
P,2022-12-26T00:35:54.770000Z,215477,0.213
P,2022-12-26T00:40:15.830000Z,241583,0.120
P,2022-12-26T00:43:24.380000Z,260438,0.103
P,2022-12-26T00:43:28.280000Z,260828,0.120
P,2022-12-26T00:44:13.760000Z,265376,0.106
P,2022-12-26T00:52:36.640000Z,315664,0.138
P,2022-12-26T00:54:49.980000Z,328998,0.112
P,2022-12-26T01:04:12.480000Z,385248,0.103
P,2022-12-26T01:11:02.820000Z,426282,0.266
P,2022-12-26T01:11:58.210000Z,431821,0.336
P,2022-12-26T01:12:03.070000Z,432307,0.122
P,2022-12-26T01:13:36.570000Z,441657,0.116
P,2022-12-26T01:21:22.410000Z,488241,0.218
P,2022-12-26T01:21:33.310000Z,489331,0.210
P,2022-12-26T01:28:56.150000Z,533615,0.110
P,2022-12-26T01:36:39.150000Z,579915,0.543
P,2022-12-26T01:41:00.970000Z,606097,0.239
P,2022-12-26T01:46:17.400000Z,637740,0.207
P,2022-12-26T01:48:48.170000Z,652817,0.136
P,2022-12-26T01:48:49.640000Z,652964,0.224
P,2022-12-26T01:48:55.090000Z,653509,0.428
P,2022-12-26T01:56:58.250000Z,701825,0.126
P,2022-12-26T02:01:18.020000Z,727802,0.101
P,2022-12-26T02:01:32.080000Z,729208,0.112
P,2022-12-26T02:04:28.100000Z,746810,0.235
P,2022-12-26T02:04:32.490000Z,747249,0.151
P,2022-12-26T02:05:32.110000Z,753211,0.117
P,2022-12-26T02:06:30.480000Z,759048,0.109
P,2022-12-26T02:07:37.670000Z,765767,0.124
P,2022-12-26T02:08:05.460000Z,768546,0.180
P,2022-12-26T02:10:05.650000Z,780565,0.284
P,2022-12-26T02:10:21.320000Z,782132,0.224
P,2022-12-26T02:22:58.930000Z,857893,0.120
P,2022-12-26T02:38:01.630000Z,948163,0.123
P,2022-12-26T02:41:02.830000Z,966283,0.141
P,2022-12-26T02:41:10.740000Z,967074,0.194
P,2022-12-26T02:43:07.040000Z,978704,0.187
P,2022-12-26T02:44:18.000000Z,985800,0.185
P,2022-12-26T02:44:58.810000Z,989881,0.123
P,2022-12-26T02:45:49.640000Z,994964,0.231
P,2022-12-26T02:45:55.070000Z,995507,0.361
P,2022-12-26T02:48:20.310000Z,1010031,0.357
P,2022-12-26T02:49:59.940000Z,1019994,0.112
P,2022-12-26T02:50:41.410000Z,1024141,0.116
P,2022-12-26T03:00:33.480000Z,1083348,0.113
P,2022-12-26T03:03:45.210000Z,1102521,0.160
P,2022-12-26T03:08:01.580000Z,1128158,0.207
P,2022-12-26T03:08:16.240000Z,1129624,0.418
P,2022-12-26T03:12:46.780000Z,1156678,0.111
P,2022-12-26T03:14:24.910000Z,1166491,0.108
P,2022-12-26T03:15:36.470000Z,1173647,0.104
P,2022-12-26T03:21:12.190000Z,1207219,0.283
P,2022-12-26T03:22:31.240000Z,1215124,0.114
P,2022-12-26T03:24:25.360000Z,1226536,0.197
P,2022-12-26T03:25:25.530000Z,1232553,0.160
P,2022-12-26T03:26:53.660000Z,1241366,0.120
P,2022-12-26T03:29:34.970000Z,1257497,0.105
P,2022-12-26T03:40:04.000000Z,1320400,0.286
P,2022-12-26T03:44:49.370000Z,1348937,0.111
P,2022-12-26T03:46:28.360000Z,1358836,0.119
P,2022-12-26T03:53:34.440000Z,1401444,0.113
P,2022-12-26T03:54:41.250000Z,1408125,0.200
P,2022-12-26T03:57:20.370000Z,1424037,0.271
P,2022-12-26T03:57:24.900000Z,1424490,0.130
P,2022-12-26T03:59:34.360000Z,1437436,0.129
P,2022-12-26T04:00:04.410000Z,1440441,0.116
P,2022-12-26T04:01:06.740000Z,1446674,0.115
P,2022-12-26T04:07:04.710000Z,1482471,0.131
P,2022-12-26T04:12:43.850000Z,1516385,0.134
P,2022-12-26T04:22:04.010000Z,1572401,0.113
P,2022-12-26T04:24:08.580000Z,1584858,0.104
P,2022-12-26T04:24:10.720000Z,1585072,0.108
P,2022-12-26T04:33:51.960000Z,1643196,0.274
P,2022-12-26T04:39:49.670000Z,1678967,0.359
P,2022-12-26T04:43:59.210000Z,1703921,0.126
P,2022-12-26T04:44:19.450000Z,1705945,0.243
P,2022-12-26T04:46:05.550000Z,1716555,0.286
P,2022-12-26T04:48:00.230000Z,1728023,0.132
P,2022-12-26T04:48:04.070000Z,1728407,0.118
P,2022-12-26T04:50:39.390000Z,1743939,0.135
P,2022-12-26T04:51:12.540000Z,1747254,0.112
P,2022-12-26T04:55:56.730000Z,1775673,0.113
P,2022-12-26T04:58:17.060000Z,1789706,0.114
P,2022-12-26T05:03:31.500000Z,1821150,0.235
P,2022-12-26T05:08:42.890000Z,1852289,0.219
P,2022-12-26T05:09:40.010000Z,1858001,0.201
P,2022-12-26T05:12:51.170000Z,1877117,0.182
P,2022-12-26T05:14:39.490000Z,1887949,0.124
P,2022-12-26T05:26:28.120000Z,1958812,0.119
P,2022-12-26T05:26:56.770000Z,1961677,0.124
P,2022-12-26T05:27:29.580000Z,1964958,0.110
P,2022-12-26T05:31:34.940000Z,1989494,0.251
P,2022-12-26T05:31:49.170000Z,1990917,0.140
P,2022-12-26T05:32:06.530000Z,1992653,0.116
P,2022-12-26T05:34:19.700000Z,2005970,0.326
P,2022-12-26T05:36:36.620000Z,2019662,0.115
P,2022-12-26T05:38:29.790000Z,2030979,0.401
P,2022-12-26T05:42:46.690000Z,2056669,0.111
P,2022-12-26T05:43:47.590000Z,2062759,0.138
P,2022-12-26T05:45:01.050000Z,2070105,0.177
P,2022-12-26T05:51:56.880000Z,2111688,0.126
P,2022-12-26T06:00:25.120000Z,2162512,0.584
P,2022-12-26T06:00:30.910000Z,2163091,0.273
P,2022-12-26T06:00:57.210000Z,2165721,0.131
P,2022-12-26T06:01:07.870000Z,2166787,0.352
P,2022-12-26T06:01:30.340000Z,2169034,0.465
P,2022-12-26T06:01:32.960000Z,2169296,0.106
P,2022-12-26T06:01:38.030000Z,2169803,0.278
P,2022-12-26T06:02:50.750000Z,2177075,0.124
P,2022-12-26T06:08:08.070000Z,2208807,0.101
P,2022-12-26T06:08:28.800000Z,2210880,0.187
P,2022-12-26T06:09:04.670000Z,2214467,0.131
P,2022-12-26T06:09:35.060000Z,2217506,0.118
P,2022-12-26T06:13:01.630000Z,2238163,0.201
P,2022-12-26T06:13:08.340000Z,2238834,0.452
P,2022-12-26T06:13:17.860000Z,2239786,0.107
P,2022-12-26T06:13:36.020000Z,2241602,0.109
P,2022-12-26T06:13:57.480000Z,2243748,0.351
P,2022-12-26T06:14:02.270000Z,2244227,0.154
P,2022-12-26T06:14:04.270000Z,2244427,0.220
P,2022-12-26T06:14:07.480000Z,2244748,0.128
P,2022-12-26T06:14:40.290000Z,2248029,0.148
P,2022-12-26T06:14:42.230000Z,2248223,0.343
P,2022-12-26T06:14:53.320000Z,2249332,0.145
P,2022-12-26T06:16:36.640000Z,2259664,0.124
P,2022-12-26T06:17:37.320000Z,2265732,0.114
P,2022-12-26T06:18:04.670000Z,2268467,0.104
P,2022-12-26T06:18:40.450000Z,2272045,0.175
P,2022-12-26T06:19:38.710000Z,2277871,0.103
P,2022-12-26T06:22:22.680000Z,2294268,0.107
P,2022-12-26T06:24:17.040000Z,2305704,0.116
P,2022-12-26T06:25:27.100000Z,2312710,0.606
P,2022-12-26T06:25:41.870000Z,2314187,0.107
P,2022-12-26T06:28:54.420000Z,2333442,0.112
P,2022-12-26T06:32:57.850000Z,2357785,0.108
P,2022-12-26T06:33:56.670000Z,2363667,0.113
P,2022-12-26T06:35:48.250000Z,2374825,0.703
P,2022-12-26T06:35:52.550000Z,2375255,0.754
P,2022-12-26T06:40:54.330000Z,2405433,0.111
P,2022-12-26T06:40:56.570000Z,2405657,0.106
P,2022-12-26T06:48:52.410000Z,2453241,0.121
P,2022-12-26T06:50:02.100000Z,2460210,0.145
P,2022-12-26T06:50:56.990000Z,2465699,0.117
P,2022-12-26T06:51:07.810000Z,2466781,0.119
P,2022-12-26T06:53:02.500000Z,2478250,0.104
P,2022-12-26T06:53:38.020000Z,2481802,0.144
P,2022-12-26T06:55:07.890000Z,2490789,0.145
P,2022-12-26T06:56:46.810000Z,2500681,0.108
P,2022-12-26T06:57:16.820000Z,2503682,0.137
P,2022-12-26T06:59:20.380000Z,2516038,0.122
P,2022-12-26T07:03:39.810000Z,2541981,0.122
P,2022-12-26T07:09:14.170000Z,2575417,0.101
P,2022-12-26T07:09:40.350000Z,2578035,0.125
P,2022-12-26T07:09:45.000000Z,2578500,0.110
P,2022-12-26T07:12:43.610000Z,2596361,0.108
P,2022-12-26T07:15:08.290000Z,2610829,0.202
P,2022-12-26T07:15:44.050000Z,2614405,0.141
P,2022-12-26T07:20:14.990000Z,2641499,0.212
P,2022-12-26T07:23:14.540000Z,2659454,0.170
P,2022-12-26T07:30:40.310000Z,2704031,0.212
P,2022-12-26T07:37:09.780000Z,2742978,0.134
P,2022-12-26T07:37:48.440000Z,2746844,0.246
P,2022-12-26T07:44:20.960000Z,2786096,0.101
P,2022-12-26T07:46:02.730000Z,2796273,0.131
P,2022-12-26T07:49:11.300000Z,2815130,0.107
P,2022-12-26T07:50:24.580000Z,2822458,0.107
P,2022-12-26T07:50:38.120000Z,2823812,0.310
P,2022-12-26T07:51:39.020000Z,2829902,0.116
P,2022-12-26T08:03:25.660000Z,2900566,0.176
P,2022-12-26T08:07:09.570000Z,2922957,0.331
P,2022-12-26T08:07:58.550000Z,2927855,0.120
P,2022-12-26T08:15:56.770000Z,2975677,0.198
P,2022-12-26T08:16:19.370000Z,2977937,0.135
P,2022-12-26T08:19:48.630000Z,2998863,0.109
P,2022-12-26T08:20:09.590000Z,3000959,0.403
P,2022-12-26T08:23:28.960000Z,3020896,0.190
P,2022-12-26T08:28:39.770000Z,3051977,0.141
P,2022-12-26T08:31:31.980000Z,3069198,0.231
P,2022-12-26T08:41:10.000000Z,3127000,0.119
P,2022-12-26T08:43:55.040000Z,3143504,0.168
P,2022-12-26T08:44:31.430000Z,3147143,0.118
P,2022-12-26T08:49:14.420000Z,3175442,0.140
P,2022-12-26T08:54:55.570000Z,3209557,0.134
P,2022-12-26T08:55:18.070000Z,3211807,0.101
P,2022-12-26T08:56:21.600000Z,3218160,0.169
