phase,time,index,confidence
P,2022-12-20T00:00:06.810470Z,681,0.240
P,2022-12-20T00:00:24.240470Z,2424,0.143
P,2022-12-20T00:00:44.420470Z,4442,0.333
P,2022-12-20T00:00:54.640470Z,5464,0.252
P,2022-12-20T00:00:57.990470Z,5799,0.390
P,2022-12-20T00:01:09.970470Z,6997,0.212
P,2022-12-20T00:01:10.990470Z,7099,0.200
P,2022-12-20T00:01:13.600470Z,7360,0.105
P,2022-12-20T00:01:24.890470Z,8489,0.228
P,2022-12-20T00:01:30.250470Z,9025,0.149
P,2022-12-20T00:01:48.600470Z,10860,0.153
P,2022-12-20T00:01:54.510470Z,11451,0.108
P,2022-12-20T00:02:38.370470Z,15837,0.100
P,2022-12-20T00:03:18.310470Z,19831,0.172
P,2022-12-20T00:03:39.580470Z,21958,0.221
P,2022-12-20T00:03:48.630470Z,22863,0.408
P,2022-12-20T00:03:55.200470Z,23520,0.241
P,2022-12-20T00:03:57.820470Z,23782,0.159
P,2022-12-20T00:04:09.680470Z,24968,0.135
P,2022-12-20T00:04:30.730470Z,27073,0.106
P,2022-12-20T00:04:53.940470Z,29394,0.327
P,2022-12-20T00:04:59.200470Z,29920,0.148
P,2022-12-20T00:05:01.860470Z,30186,0.377
P,2022-12-20T00:05:10.910470Z,31091,0.437
P,2022-12-20T00:05:17.780470Z,31778,0.324
P,2022-12-20T00:05:26.640470Z,32664,0.188
P,2022-12-20T00:05:43.160470Z,34316,0.150
P,2022-12-20T00:05:55.480470Z,35548,0.413
P,2022-12-20T00:06:03.700470Z,36370,0.113
P,2022-12-20T00:06:38.770470Z,39877,0.343
P,2022-12-20T00:06:43.890470Z,40389,0.370
P,2022-12-20T00:07:28.020470Z,44802,0.103
P,2022-12-20T00:08:12.960470Z,49296,0.147
P,2022-12-20T00:08:38.640470Z,51864,0.549
P,2022-12-20T00:08:41.200470Z,52120,0.157
P,2022-12-20T00:08:43.770470Z,52377,0.122
P,2022-12-20T00:08:50.740470Z,53074,0.487
P,2022-12-20T00:09:00.610470Z,54061,0.182
P,2022-12-20T00:09:09.220470Z,54922,0.110
P,2022-12-20T00:09:39.310470Z,57931,0.334
P,2022-12-20T00:10:37.420470Z,63742,0.342
P,2022-12-20T00:10:40.570470Z,64057,0.484
P,2022-12-20T00:11:43.060470Z,70306,0.236
P,2022-12-20T00:11:55.730470Z,71573,0.149
P,2022-12-20T00:12:44.410470Z,76441,0.110
P,2022-12-20T00:12:47.220470Z,76722,0.125
P,2022-12-20T00:13:17.380470Z,79738,0.219
P,2022-12-20T00:13:21.470470Z,80147,0.119
P,2022-12-20T00:13:26.270470Z,80627,0.402
P,2022-12-20T00:13:48.040470Z,82804,0.148
P,2022-12-20T00:15:27.970470Z,92797,0.142
P,2022-12-20T00:15:41.580470Z,94158,0.153
P,2022-12-20T00:16:14.140470Z,97414,0.201
P,2022-12-20T00:16:47.560470Z,100756,0.609
P,2022-12-20T00:17:14.800470Z,103480,0.124
P,2022-12-20T00:17:19.540470Z,103954,0.151
P,2022-12-20T00:18:07.790470Z,108779,0.165
