phase,time,index,confidence
P,2022-12-23T00:01:00.170000Z,6017,0.108
P,2022-12-23T00:01:30.030000Z,9003,0.112
P,2022-12-23T00:01:55.800000Z,11580,0.254
P,2022-12-23T00:02:30.270000Z,15027,0.102
P,2022-12-23T00:02:44.450000Z,16445,0.108
P,2022-12-23T00:03:00.280000Z,18028,0.136
P,2022-12-23T00:03:30.070000Z,21007,0.214
P,2022-12-23T00:04:17.920000Z,25792,0.105
P,2022-12-23T00:04:30.790000Z,27079,0.181
P,2022-12-23T00:04:43.870000Z,28387,0.153
P,2022-12-23T00:05:36.590000Z,33659,0.107
P,2022-12-23T00:06:26.630000Z,38663,0.199
P,2022-12-23T00:06:30.280000Z,39028,0.109
P,2022-12-23T00:06:37.660000Z,39766,0.286
P,2022-12-23T00:08:14.410000Z,49441,0.280
P,2022-12-23T00:08:17.690000Z,49769,0.372
P,2022-12-23T00:08:27.200000Z,50720,0.116
P,2022-12-23T00:08:30.400000Z,51040,0.102
P,2022-12-23T00:09:28.110000Z,56811,0.411
P,2022-12-23T00:10:00.430000Z,60043,0.148
P,2022-12-23T00:10:30.360000Z,63036,0.108
P,2022-12-23T00:10:34.800000Z,63480,0.139
P,2022-12-23T00:10:57.340000Z,65734,0.312
P,2022-12-23T00:11:14.340000Z,67434,0.113
P,2022-12-23T00:12:00.240000Z,72024,0.171
P,2022-12-23T00:13:30.500000Z,81050,0.168
P,2022-12-23T00:15:00.950000Z,90095,0.238
P,2022-12-23T00:16:17.480000Z,97748,0.103
P,2022-12-23T00:17:00.560000Z,102056,0.106
P,2022-12-23T00:18:00.510000Z,108051,0.138
P,2022-12-23T00:19:00.600000Z,114060,0.106
P,2022-12-23T00:19:30.600000Z,117060,0.250
P,2022-12-23T00:20:47.370000Z,124737,0.144
P,2022-12-23T00:21:00.600000Z,126060,0.325
P,2022-12-23T00:21:30.580000Z,129058,0.138
P,2022-12-23T00:22:07.140000Z,132714,0.168
P,2022-12-23T00:22:16.430000Z,133643,0.141
P,2022-12-23T00:22:57.340000Z,137734,0.276
P,2022-12-23T00:23:00.680000Z,138068,0.102
P,2022-12-23T00:24:00.630000Z,144063,0.111
P,2022-12-23T00:24:30.640000Z,147064,0.123
P,2022-12-23T00:25:30.660000Z,153066,0.145
P,2022-12-23T00:25:52.590000Z,155259,0.120
P,2022-12-23T00:26:00.750000Z,156075,0.196
P,2022-12-23T00:27:09.020000Z,162902,0.235
P,2022-12-23T00:27:21.170000Z,164117,0.197
P,2022-12-23T00:28:00.710000Z,168071,0.103
P,2022-12-23T00:28:30.720000Z,171072,0.105
P,2022-12-23T00:29:30.810000Z,177081,0.306
P,2022-12-23T00:29:33.010000Z,177301,0.175
P,2022-12-23T00:30:00.760000Z,180076,0.285
P,2022-12-23T00:31:00.770000Z,186077,0.157
P,2022-12-23T00:31:57.780000Z,191778,0.158
P,2022-12-23T00:32:29.310000Z,194931,0.234
P,2022-12-23T00:33:22.900000Z,200290,0.124
P,2022-12-23T00:34:00.900000Z,204090,0.107
P,2022-12-23T00:35:00.930000Z,210093,0.139
P,2022-12-23T00:35:30.940000Z,213094,0.112
P,2022-12-23T00:35:32.960000Z,213296,0.254
P,2022-12-23T00:36:00.730000Z,216073,0.242
