phase,time,index,confidence
P,2022-12-24T00:01:00.170000Z,6017,0.132
P,2022-12-24T00:01:49.000000Z,10900,0.448
P,2022-12-24T00:02:17.640000Z,13764,0.109
P,2022-12-24T00:02:25.970000Z,14597,0.222
P,2022-12-24T00:02:30.280000Z,15028,0.219
P,2022-12-24T00:02:43.990000Z,16399,0.124
P,2022-12-24T00:03:11.920000Z,19192,0.140
P,2022-12-24T00:03:28.070000Z,20807,0.244
P,2022-12-24T00:03:43.070000Z,22307,0.368
P,2022-12-24T00:04:01.190000Z,24119,0.182
P,2022-12-24T00:04:08.320000Z,24832,0.162
P,2022-12-24T00:04:15.910000Z,25591,0.158
P,2022-12-24T00:04:23.540000Z,26354,0.156
P,2022-12-24T00:05:30.340000Z,33034,0.105
P,2022-12-24T00:06:00.340000Z,36034,0.205
P,2022-12-24T00:06:30.280000Z,39028,0.121
P,2022-12-24T00:07:32.400000Z,45240,0.251
P,2022-12-24T00:07:50.150000Z,47015,0.135
P,2022-12-24T00:08:00.310000Z,48031,0.124
P,2022-12-24T00:08:30.320000Z,51032,0.110
P,2022-12-24T00:08:58.530000Z,53853,0.106
P,2022-12-24T00:09:01.750000Z,54175,0.282
P,2022-12-24T00:09:15.240000Z,55524,0.131
P,2022-12-24T00:09:31.150000Z,57115,0.492
P,2022-12-24T00:09:43.150000Z,58315,0.105
P,2022-12-24T00:10:00.420000Z,60042,0.144
P,2022-12-24T00:10:01.970000Z,60197,0.134
P,2022-12-24T00:11:02.820000Z,66282,0.118
P,2022-12-24T00:11:15.510000Z,67551,0.280
P,2022-12-24T00:12:08.080000Z,72808,0.104
P,2022-12-24T00:12:19.140000Z,73914,0.170
P,2022-12-24T00:12:39.600000Z,75960,0.108
P,2022-12-24T00:12:44.650000Z,76465,0.106
P,2022-12-24T00:13:39.830000Z,81983,0.117
P,2022-12-24T00:14:34.290000Z,87429,0.140
P,2022-12-24T00:15:02.680000Z,90268,0.103
P,2022-12-24T00:15:06.060000Z,90606,0.133
P,2022-12-24T00:15:28.460000Z,92846,0.178
P,2022-12-24T00:15:40.710000Z,94071,0.113
P,2022-12-24T00:16:01.920000Z,96192,0.135
P,2022-12-24T00:16:30.480000Z,99048,0.155
P,2022-12-24T00:16:41.840000Z,100184,0.147
P,2022-12-24T00:18:21.500000Z,110150,0.106
P,2022-12-24T00:18:30.600000Z,111060,0.206
P,2022-12-24T00:20:00.400000Z,120040,0.121
P,2022-12-24T00:20:30.640000Z,123064,0.130
P,2022-12-24T00:21:10.820000Z,127082,0.136
P,2022-12-24T00:21:30.650000Z,129065,0.151
P,2022-12-24T00:22:23.690000Z,134369,0.122
P,2022-12-24T00:22:29.800000Z,134980,0.104
P,2022-12-24T00:23:00.680000Z,138068,0.128
P,2022-12-24T00:23:27.910000Z,140791,0.223
P,2022-12-24T00:24:00.480000Z,144048,0.112
P,2022-12-24T00:24:30.710000Z,147071,0.227
P,2022-12-24T00:24:41.210000Z,148121,0.149
P,2022-12-24T00:24:46.500000Z,148650,0.160
P,2022-12-24T00:25:00.730000Z,150073,0.141
P,2022-12-24T00:25:30.730000Z,153073,0.165
P,2022-12-24T00:25:35.630000Z,153563,0.122
P,2022-12-24T00:26:00.750000Z,156075,0.104
P,2022-12-24T00:26:33.080000Z,159308,0.195
P,2022-12-24T00:26:53.560000Z,161356,0.156
P,2022-12-24T00:28:03.100000Z,168310,0.126
P,2022-12-24T00:28:05.100000Z,168510,0.113
P,2022-12-24T00:28:09.130000Z,168913,0.321
P,2022-12-24T00:28:14.000000Z,169400,0.158
P,2022-12-24T00:28:30.790000Z,171079,0.115
P,2022-12-24T00:29:00.790000Z,174079,0.140
P,2022-12-24T00:29:30.800000Z,177080,0.174
P,2022-12-24T00:30:00.810000Z,180081,0.221
P,2022-12-24T00:31:00.770000Z,186077,0.146
P,2022-12-24T00:31:32.490000Z,189249,0.159
P,2022-12-24T00:31:58.470000Z,191847,0.108
P,2022-12-24T00:32:45.210000Z,196521,0.174
P,2022-12-24T00:33:11.620000Z,199162,0.115
P,2022-12-24T00:33:39.470000Z,201947,0.136
P,2022-12-24T00:34:17.530000Z,205753,0.167
P,2022-12-24T00:34:30.900000Z,207090,0.122
P,2022-12-24T00:35:30.930000Z,213093,0.129
P,2022-12-24T00:38:30.990000Z,231099,0.131
P,2022-12-24T00:39:01.000000Z,234100,0.102
P,2022-12-24T00:39:04.540000Z,234454,0.108
P,2022-12-24T00:39:30.800000Z,237080,0.181
P,2022-12-24T00:40:10.580000Z,241058,0.112
P,2022-12-24T00:40:31.020000Z,243102,0.164
P,2022-12-24T00:41:13.300000Z,247330,0.114
P,2022-12-24T00:41:29.820000Z,248982,0.112
P,2022-12-24T00:41:30.980000Z,249098,0.170
P,2022-12-24T00:42:17.640000Z,253764,0.109
P,2022-12-24T00:44:05.660000Z,264566,0.115
P,2022-12-24T00:44:31.120000Z,267112,0.180
P,2022-12-24T00:44:34.660000Z,267466,0.141
P,2022-12-24T00:44:49.330000Z,268933,0.136
P,2022-12-24T00:44:59.350000Z,269935,0.101
P,2022-12-24T00:45:57.150000Z,275715,0.128
P,2022-12-24T00:46:01.130000Z,276113,0.192
P,2022-12-24T00:47:01.150000Z,282115,0.141
P,2022-12-24T00:47:03.970000Z,282397,0.230
P,2022-12-24T00:47:15.640000Z,283564,0.112
P,2022-12-24T00:48:01.600000Z,288160,0.155
P,2022-12-24T00:48:32.550000Z,291255,0.105
P,2022-12-24T00:48:56.410000Z,293641,0.130
P,2022-12-24T00:49:48.910000Z,298891,0.128
P,2022-12-24T00:50:14.900000Z,301490,0.511
P,2022-12-24T00:50:31.230000Z,303123,0.154
P,2022-12-24T00:50:41.830000Z,304183,0.211
P,2022-12-24T00:51:21.540000Z,308154,0.115
P,2022-12-24T00:51:31.250000Z,309125,0.107
P,2022-12-24T00:52:01.260000Z,312126,0.104
P,2022-12-24T00:52:05.840000Z,312584,0.108
P,2022-12-24T00:52:10.540000Z,313054,0.167
P,2022-12-24T00:52:31.200000Z,315120,0.104
