phase,time,index,confidence
P,2022-12-23T00:01:37.560000Z,9756,0.115
P,2022-12-23T00:01:41.470000Z,10147,0.116
P,2022-12-23T00:03:06.500000Z,18650,0.145
P,2022-12-23T00:04:43.910000Z,28391,0.102
P,2022-12-23T00:05:37.910000Z,33791,0.132
P,2022-12-23T00:07:51.110000Z,47111,0.109
P,2022-12-23T00:08:27.320000Z,50732,0.135
P,2022-12-23T00:11:11.520000Z,67152,0.228
P,2022-12-23T00:16:21.460000Z,98146,0.123
P,2022-12-23T00:20:16.560000Z,121656,0.112
P,2022-12-23T00:22:49.170000Z,136917,0.108
P,2022-12-23T00:26:21.800000Z,158180,0.133
P,2022-12-23T00:27:07.600000Z,162760,0.122
P,2022-12-23T00:27:24.540000Z,164454,0.132
P,2022-12-23T00:29:59.080000Z,179908,0.195
P,2022-12-23T00:31:48.400000Z,190840,0.122
P,2022-12-23T00:32:07.690000Z,192769,0.324
P,2022-12-23T00:34:17.310000Z,205731,0.192
P,2022-12-23T00:37:31.560000Z,225156,0.656
P,2022-12-23T00:37:59.550000Z,227955,0.250
P,2022-12-23T00:38:05.260000Z,228526,0.121
P,2022-12-23T00:38:20.960000Z,230096,0.365
P,2022-12-23T00:38:34.460000Z,231446,0.165
P,2022-12-23T00:38:36.540000Z,231654,0.161
P,2022-12-23T00:38:49.100000Z,232910,0.136
P,2022-12-23T00:39:12.480000Z,235248,0.316
P,2022-12-23T00:39:36.720000Z,237672,0.373
P,2022-12-23T00:40:05.450000Z,240545,0.212
P,2022-12-23T00:40:13.460000Z,241346,0.287
P,2022-12-23T00:40:32.410000Z,243241,0.311
P,2022-12-23T00:40:35.990000Z,243599,0.549
P,2022-12-23T00:40:38.820000Z,243882,0.267
P,2022-12-23T00:40:41.700000Z,244170,0.627
P,2022-12-23T00:40:45.550000Z,244555,0.411
P,2022-12-23T00:40:48.420000Z,244842,0.250
P,2022-12-23T00:40:50.430000Z,245043,0.216
P,2022-12-23T00:41:13.880000Z,247388,0.135
P,2022-12-23T00:41:15.940000Z,247594,0.413
P,2022-12-23T00:41:19.070000Z,247907,0.247
P,2022-12-23T00:41:40.000000Z,250000,0.427
P,2022-12-23T00:42:05.410000Z,252541,0.120
P,2022-12-23T00:42:13.910000Z,253391,0.257
P,2022-12-23T00:42:22.180000Z,254218,0.131
P,2022-12-23T00:42:25.000000Z,254500,0.121
P,2022-12-23T00:42:28.050000Z,254805,0.356
P,2022-12-23T00:42:31.170000Z,255117,0.397
P,2022-12-23T00:42:34.030000Z,255403,0.688
