phase,time,index,confidence
P,2022-12-25T00:00:10.320000Z,1032,0.162
P,2022-12-25T00:01:27.860000Z,8786,0.329
P,2022-12-25T00:02:01.170000Z,12117,0.328
P,2022-12-25T00:02:51.000000Z,17100,0.246
P,2022-12-25T00:02:59.180000Z,17918,0.197
P,2022-12-25T00:03:14.450000Z,19445,0.640
P,2022-12-25T00:03:32.630000Z,21263,0.362
P,2022-12-25T00:04:02.600000Z,24260,0.641
P,2022-12-25T00:05:17.060000Z,31706,0.138
P,2022-12-25T00:05:48.610000Z,34861,0.194
P,2022-12-25T00:05:57.240000Z,35724,0.168
P,2022-12-25T00:06:16.600000Z,37660,0.173
P,2022-12-25T00:07:05.050000Z,42505,0.259
P,2022-12-25T00:07:25.330000Z,44533,0.149
P,2022-12-25T00:08:10.650000Z,49065,0.308
P,2022-12-25T00:08:15.470000Z,49547,0.607
P,2022-12-25T00:09:06.000000Z,54600,0.444
P,2022-12-25T00:09:17.390000Z,55739,0.165
P,2022-12-25T00:09:22.330000Z,56233,0.106
P,2022-12-25T00:09:27.610000Z,56761,0.187
P,2022-12-25T00:09:32.970000Z,57297,0.127
P,2022-12-25T00:09:49.860000Z,58986,0.110
P,2022-12-25T00:10:05.170000Z,60517,0.163
P,2022-12-25T00:11:47.830000Z,70783,0.146
P,2022-12-25T00:12:14.880000Z,73488,0.175
P,2022-12-25T00:12:30.000000Z,75000,0.113
P,2022-12-25T00:12:47.700000Z,76770,0.388
P,2022-12-25T00:13:23.680000Z,80368,0.234
P,2022-12-25T00:13:47.240000Z,82724,0.442
P,2022-12-25T00:14:20.480000Z,86048,0.433
P,2022-12-25T00:14:49.180000Z,88918,0.352
P,2022-12-25T00:15:00.720000Z,90072,0.162
P,2022-12-25T00:15:21.430000Z,92143,0.228
P,2022-12-25T00:15:23.200000Z,92320,0.180
P,2022-12-25T00:15:42.640000Z,94264,0.250
P,2022-12-25T00:15:49.370000Z,94937,0.209
P,2022-12-25T00:18:21.640000Z,110164,0.122
P,2022-12-25T00:18:33.470000Z,111347,0.252
P,2022-12-25T00:18:37.110000Z,111711,0.282
P,2022-12-25T00:18:41.140000Z,112114,0.164
P,2022-12-25T00:19:01.820000Z,114182,0.146
P,2022-12-25T00:26:19.200000Z,157920,0.757
P,2022-12-25T00:30:57.600000Z,185760,0.135
P,2022-12-25T00:36:27.450000Z,218745,0.148
P,2022-12-25T00:36:29.850000Z,218985,0.130
P,2022-12-25T00:37:39.730000Z,225973,0.111
P,2022-12-25T00:39:27.100000Z,236710,0.397
P,2022-12-25T00:39:50.790000Z,239079,0.565
P,2022-12-25T00:40:17.440000Z,241744,0.108
P,2022-12-25T00:44:12.490000Z,265249,0.114
P,2022-12-25T00:46:36.370000Z,279637,0.590
P,2022-12-25T00:47:19.500000Z,283950,0.320
P,2022-12-25T00:49:47.850000Z,298785,0.120
P,2022-12-25T00:51:29.180000Z,308918,0.123
P,2022-12-25T00:51:59.610000Z,311961,0.122
P,2022-12-25T00:52:01.840000Z,312184,0.158
P,2022-12-25T00:54:45.660000Z,328566,0.100
P,2022-12-25T00:57:30.050000Z,345005,0.140
P,2022-12-25T01:03:34.470000Z,381447,0.116
P,2022-12-25T01:03:50.160000Z,383016,0.197
