phase,time,index,confidence
P,2022-12-26T00:12:55.420000Z,77542,0.332
P,2022-12-26T00:16:40.040000Z,100004,0.332
P,2022-12-26T00:16:49.700000Z,100970,0.302
P,2022-12-26T00:22:47.880000Z,136788,0.112
P,2022-12-26T00:31:54.110000Z,191411,0.396
P,2022-12-26T00:32:00.820000Z,192082,0.159
P,2022-12-26T00:40:09.380000Z,240938,0.143
P,2022-12-26T00:47:33.990000Z,285399,0.294
P,2022-12-26T00:50:47.350000Z,304735,0.258
P,2022-12-26T00:57:06.430000Z,342643,0.148
P,2022-12-26T01:02:06.690000Z,372669,0.194
P,2022-12-26T01:02:08.600000Z,372860,0.318
P,2022-12-26T01:05:30.120000Z,393012,0.513
P,2022-12-26T01:05:37.080000Z,393708,0.212
P,2022-12-26T01:07:34.890000Z,405489,0.107
P,2022-12-26T01:13:39.950000Z,441995,0.371
P,2022-12-26T01:14:18.600000Z,445860,0.589
P,2022-12-26T01:17:56.280000Z,467628,0.105
P,2022-12-26T01:24:06.740000Z,504674,0.186
P,2022-12-26T01:25:02.820000Z,510282,0.142
P,2022-12-26T01:29:43.770000Z,538377,0.106
P,2022-12-26T01:31:25.350000Z,548535,0.173
P,2022-12-26T01:31:42.410000Z,550241,0.480
P,2022-12-26T01:32:15.490000Z,553549,0.201
P,2022-12-26T01:35:12.150000Z,571215,0.323
P,2022-12-26T01:36:37.440000Z,579744,0.760
P,2022-12-26T01:36:45.610000Z,580561,0.136
P,2022-12-26T01:37:48.120000Z,586812,0.153
P,2022-12-26T01:38:40.930000Z,592093,0.112
P,2022-12-26T01:45:13.290000Z,631329,0.182
P,2022-12-26T01:45:23.210000Z,632321,0.230
P,2022-12-26T01:45:38.490000Z,633849,0.394
P,2022-12-26T01:45:57.180000Z,635718,0.720
P,2022-12-26T01:46:11.580000Z,637158,0.540
P,2022-12-26T01:47:32.150000Z,645215,0.191
P,2022-12-26T01:48:08.800000Z,648880,0.279
P,2022-12-26T01:52:43.310000Z,676331,0.364
P,2022-12-26T01:57:36.530000Z,705653,0.337
P,2022-12-26T01:58:35.390000Z,711539,0.142
P,2022-12-26T02:04:32.100000Z,747210,0.958
P,2022-12-26T02:04:40.510000Z,748051,0.117
P,2022-12-26T02:05:31.160000Z,753116,0.225
P,2022-12-26T02:06:29.790000Z,758979,0.697
P,2022-12-26T02:06:38.460000Z,759846,0.107
P,2022-12-26T02:10:18.160000Z,781816,0.378
P,2022-12-26T02:15:05.270000Z,810527,0.201
P,2022-12-26T02:17:26.810000Z,824681,0.547
P,2022-12-26T02:27:10.780000Z,883078,0.268
P,2022-12-26T02:28:32.090000Z,891209,0.185
P,2022-12-26T02:29:15.710000Z,895571,0.146
P,2022-12-26T02:41:00.900000Z,966090,0.146
P,2022-12-26T02:43:32.320000Z,981232,0.101
P,2022-12-26T02:45:54.470000Z,995447,0.536
P,2022-12-26T02:46:03.320000Z,996332,0.114
P,2022-12-26T02:55:58.790000Z,1055879,0.177
P,2022-12-26T02:56:48.320000Z,1060832,0.442
P,2022-12-26T02:57:12.340000Z,1063234,0.148
P,2022-12-26T03:00:52.750000Z,1085275,0.106
P,2022-12-26T03:00:55.370000Z,1085537,0.108
P,2022-12-26T03:06:33.440000Z,1119344,0.111
P,2022-12-26T03:06:36.410000Z,1119641,0.122
P,2022-12-26T03:06:46.210000Z,1120621,0.139
P,2022-12-26T03:17:44.840000Z,1186484,0.341
P,2022-12-26T03:23:03.020000Z,1218302,0.101
P,2022-12-26T03:34:07.140000Z,1284714,0.450
P,2022-12-26T03:39:02.690000Z,1314269,0.153
P,2022-12-26T03:42:57.470000Z,1337747,0.123
P,2022-12-26T03:51:18.000000Z,1387800,0.109
P,2022-12-26T03:51:46.630000Z,1390663,0.148
P,2022-12-26T03:52:15.260000Z,1393526,0.158
P,2022-12-26T03:53:06.600000Z,1398660,0.200
P,2022-12-26T03:53:39.800000Z,1401980,0.177
P,2022-12-26T03:55:16.490000Z,1411649,0.339
P,2022-12-26T03:55:29.520000Z,1412952,0.111
P,2022-12-26T03:56:05.600000Z,1416560,0.169
P,2022-12-26T03:56:09.320000Z,1416932,0.101
P,2022-12-26T03:58:11.620000Z,1429162,0.131
P,2022-12-26T03:58:49.010000Z,1432901,0.129
P,2022-12-26T03:58:56.390000Z,1433639,0.245
P,2022-12-26T03:59:11.240000Z,1435124,0.133
P,2022-12-26T03:59:19.240000Z,1435924,0.104
P,2022-12-26T03:59:36.230000Z,1437623,0.135
P,2022-12-26T03:59:40.690000Z,1438069,0.111
P,2022-12-26T04:00:02.790000Z,1440279,0.140
P,2022-12-26T04:01:54.070000Z,1451407,0.167
P,2022-12-26T04:02:44.300000Z,1456430,0.204
P,2022-12-26T04:02:50.060000Z,1457006,0.121
P,2022-12-26T04:03:26.930000Z,1460693,0.188
