phase,time,index,confidence
P,2022-12-22T00:00:21.640000Z,2164,0.114
P,2022-12-22T00:00:26.650000Z,2665,0.444
P,2022-12-22T00:01:06.660000Z,6666,0.312
P,2022-12-22T00:01:09.310000Z,6931,0.134
P,2022-12-22T00:02:04.130000Z,12413,0.164
P,2022-12-22T00:02:20.840000Z,14084,0.103
P,2022-12-22T00:03:02.630000Z,18263,0.143
P,2022-12-22T00:03:04.490000Z,18449,0.624
P,2022-12-22T00:03:07.790000Z,18779,0.145
P,2022-12-22T00:03:12.540000Z,19254,0.361
P,2022-12-22T00:03:15.010000Z,19501,0.130
P,2022-12-22T00:03:39.990000Z,21999,0.114
P,2022-12-22T00:04:21.690000Z,26169,0.107
P,2022-12-22T00:04:40.850000Z,28085,0.432
P,2022-12-22T00:05:11.130000Z,31113,0.188
P,2022-12-22T00:05:16.590000Z,31659,0.422
P,2022-12-22T00:05:31.660000Z,33166,0.778
P,2022-12-22T00:05:34.540000Z,33454,0.247
P,2022-12-22T00:06:19.470000Z,37947,0.646
P,2022-12-22T00:06:22.930000Z,38293,0.349
P,2022-12-22T00:06:45.070000Z,40507,0.134
P,2022-12-22T00:06:53.330000Z,41333,0.102
P,2022-12-22T00:07:46.160000Z,46616,0.538
P,2022-12-22T00:08:06.890000Z,48689,0.548
P,2022-12-22T00:09:13.350000Z,55335,0.336
P,2022-12-22T00:09:31.000000Z,57100,0.168
P,2022-12-22T00:09:32.860000Z,57286,0.250
P,2022-12-22T00:09:35.250000Z,57525,0.739
P,2022-12-22T00:09:37.550000Z,57755,0.464
P,2022-12-22T00:09:44.780000Z,58478,0.838
P,2022-12-22T00:09:47.140000Z,58714,0.281
P,2022-12-22T00:09:49.670000Z,58967,0.383
P,2022-12-22T00:09:53.710000Z,59371,0.604
P,2022-12-22T00:09:56.920000Z,59692,0.198
P,2022-12-22T00:09:59.310000Z,59931,0.299
P,2022-12-22T00:10:01.430000Z,60143,0.255
P,2022-12-22T00:10:04.360000Z,60436,0.354
P,2022-12-22T00:10:07.730000Z,60773,0.160
P,2022-12-22T00:10:10.610000Z,61061,0.389
P,2022-12-22T00:10:22.070000Z,62207,0.643
P,2022-12-22T00:10:24.550000Z,62455,0.774
P,2022-12-22T00:10:26.290000Z,62629,0.599
P,2022-12-22T00:10:30.790000Z,63079,0.942
P,2022-12-22T00:10:36.210000Z,63621,0.218
