phase,time,index,confidence
P,2022-12-23T00:07:39.650000Z,45965,0.390
P,2022-12-23T00:07:48.080000Z,46808,0.301
P,2022-12-23T00:08:08.300000Z,48830,0.113
P,2022-12-23T00:08:46.340000Z,52634,0.402
P,2022-12-23T00:08:52.740000Z,53274,0.516
P,2022-12-23T00:08:57.790000Z,53779,0.114
P,2022-12-23T00:09:00.990000Z,54099,0.127
P,2022-12-23T00:09:08.820000Z,54882,0.109
P,2022-12-23T00:10:48.750000Z,64875,0.244
P,2022-12-23T00:14:10.700000Z,85070,0.184
P,2022-12-23T00:15:49.560000Z,94956,0.429
P,2022-12-23T00:32:32.740000Z,195274,0.135
P,2022-12-23T00:33:44.090000Z,202409,0.247
P,2022-12-23T00:52:38.670000Z,315867,0.296
P,2022-12-23T00:54:51.060000Z,329106,0.290
P,2022-12-23T00:55:30.180000Z,333018,0.296
P,2022-12-23T00:55:35.310000Z,333531,0.184
P,2022-12-23T00:55:41.980000Z,334198,0.168
P,2022-12-23T00:55:59.480000Z,335948,0.691
P,2022-12-23T00:56:04.680000Z,336468,0.403
P,2022-12-23T00:56:18.440000Z,337844,0.435
P,2022-12-23T00:56:31.130000Z,339113,0.147
P,2022-12-23T01:01:58.610000Z,371861,0.543
P,2022-12-23T01:02:29.390000Z,374939,0.105
P,2022-12-23T01:02:31.250000Z,375125,0.169
P,2022-12-23T01:03:35.260000Z,381526,0.117
P,2022-12-23T01:08:34.250000Z,411425,0.237
P,2022-12-23T01:11:34.910000Z,429491,0.386
P,2022-12-23T01:11:55.310000Z,431531,0.525
P,2022-12-23T01:12:21.610000Z,434161,0.432
P,2022-12-23T01:13:11.140000Z,439114,0.203
P,2022-12-23T01:13:38.350000Z,441835,0.389
P,2022-12-23T01:13:42.200000Z,442220,0.156
P,2022-12-23T01:14:25.500000Z,446550,0.147
P,2022-12-23T01:15:50.400000Z,455040,0.171
P,2022-12-23T01:16:33.610000Z,459361,0.226
P,2022-12-23T01:17:37.590000Z,465759,0.124
P,2022-12-23T01:17:39.410000Z,465941,0.111
P,2022-12-23T01:17:42.500000Z,466250,0.815
P,2022-12-23T01:17:51.480000Z,467148,0.250
P,2022-12-23T01:18:22.530000Z,470253,0.366
P,2022-12-23T01:18:28.920000Z,470892,0.110
P,2022-12-23T01:18:31.140000Z,471114,0.158
P,2022-12-23T01:18:53.180000Z,473318,0.208
P,2022-12-23T01:18:54.460000Z,473446,0.175
P,2022-12-23T01:18:58.250000Z,473825,0.250
P,2022-12-23T01:18:59.410000Z,473941,0.152
P,2022-12-23T01:19:07.820000Z,474782,0.384
P,2022-12-23T01:19:30.240000Z,477024,0.239
P,2022-12-23T01:21:03.480000Z,486348,0.137
P,2022-12-23T01:21:38.130000Z,489813,0.170
P,2022-12-23T01:41:45.850000Z,610585,0.473
P,2022-12-23T01:45:30.270000Z,633027,0.233
P,2022-12-23T01:48:28.550000Z,650855,0.153
P,2022-12-23T02:01:25.080000Z,728508,0.142
P,2022-12-23T02:05:30.500000Z,753050,0.125
P,2022-12-23T02:06:30.980000Z,759098,0.104
P,2022-12-23T02:18:04.580000Z,828458,0.478
