phase,time,index,confidence
P,2022-12-20T00:00:59.890000Z,5989,0.151
P,2022-12-20T00:02:17.640000Z,13764,0.112
P,2022-12-20T00:02:54.710000Z,17471,0.200
P,2022-12-20T00:03:06.740000Z,18674,0.103
P,2022-12-20T00:03:43.770000Z,22377,0.175
P,2022-12-20T00:03:51.830000Z,23183,0.133
P,2022-12-20T00:05:18.720000Z,31872,0.126
P,2022-12-20T00:05:22.380000Z,32238,0.133
P,2022-12-20T00:05:40.050000Z,34005,0.121
P,2022-12-20T00:07:03.670000Z,42367,0.120
P,2022-12-20T00:09:20.190000Z,56019,0.111
P,2022-12-20T00:09:23.800000Z,56380,0.104
P,2022-12-20T00:09:41.080000Z,58108,0.100
P,2022-12-20T00:10:12.440000Z,61244,0.126
P,2022-12-20T00:10:27.680000Z,62768,0.136
P,2022-12-20T00:11:01.600000Z,66160,0.118
P,2022-12-20T00:11:10.560000Z,67056,0.114
P,2022-12-20T00:11:14.800000Z,67480,0.125
P,2022-12-20T00:11:51.200000Z,71120,0.225
P,2022-12-20T00:12:22.000000Z,74200,0.372
P,2022-12-20T00:12:35.250000Z,75525,0.132
P,2022-12-20T00:12:40.650000Z,76065,0.183
P,2022-12-20T00:12:56.230000Z,77623,0.110
P,2022-12-20T00:13:24.110000Z,80411,0.193
P,2022-12-20T00:13:40.030000Z,82003,0.251
P,2022-12-20T00:13:48.680000Z,82868,0.253
P,2022-12-20T00:14:29.400000Z,86940,0.120
P,2022-12-20T00:14:56.430000Z,89643,0.149
P,2022-12-20T00:15:37.580000Z,93758,0.174
P,2022-12-20T00:15:56.070000Z,95607,0.106
P,2022-12-20T00:16:31.670000Z,99167,0.107
P,2022-12-20T00:16:49.430000Z,100943,0.175
P,2022-12-20T00:17:27.000000Z,104700,0.105
P,2022-12-20T00:17:38.070000Z,105807,0.101
P,2022-12-20T00:18:22.140000Z,110214,0.247
P,2022-12-20T00:18:42.850000Z,112285,0.137
P,2022-12-20T00:20:31.210000Z,123121,0.158
P,2022-12-20T00:20:45.410000Z,124541,0.142
P,2022-12-20T00:21:08.970000Z,126897,0.121
P,2022-12-20T00:21:10.380000Z,127038,0.235
P,2022-12-20T00:21:48.250000Z,130825,0.108
P,2022-12-20T00:22:28.100000Z,134810,0.151
P,2022-12-20T00:23:08.520000Z,138852,0.101
P,2022-12-20T00:24:36.430000Z,147643,0.203
P,2022-12-20T00:24:49.730000Z,148973,0.218
P,2022-12-20T00:25:23.660000Z,152366,0.115
P,2022-12-20T00:25:42.370000Z,154237,0.114
P,2022-12-20T00:26:09.290000Z,156929,0.124
P,2022-12-20T00:27:06.310000Z,162631,0.114
P,2022-12-20T00:27:49.430000Z,166943,0.383
P,2022-12-20T00:27:54.070000Z,167407,0.144
P,2022-12-20T00:28:02.680000Z,168268,0.171
P,2022-12-20T00:28:09.750000Z,168975,0.123
P,2022-12-20T00:28:46.490000Z,172649,0.183
P,2022-12-20T00:29:20.980000Z,176098,0.171
P,2022-12-20T00:29:31.550000Z,177155,0.174
P,2022-12-20T00:29:55.230000Z,179523,0.133
P,2022-12-20T00:30:15.580000Z,181558,0.164
P,2022-12-20T00:31:13.600000Z,187360,0.111
P,2022-12-20T00:31:40.540000Z,190054,0.102
P,2022-12-20T00:31:42.520000Z,190252,0.225
P,2022-12-20T00:31:52.710000Z,191271,0.149
P,2022-12-20T00:32:32.250000Z,195225,0.145
P,2022-12-20T00:32:46.070000Z,196607,0.110
P,2022-12-20T00:33:16.740000Z,199674,0.102
P,2022-12-20T00:33:23.070000Z,200307,0.100
P,2022-12-20T00:33:48.430000Z,202843,0.129
P,2022-12-20T00:33:58.840000Z,203884,0.107
P,2022-12-20T00:34:23.060000Z,206306,0.144
P,2022-12-20T00:34:36.290000Z,207629,0.146
P,2022-12-20T00:35:29.820000Z,212982,0.168
P,2022-12-20T00:35:57.510000Z,215751,0.191
P,2022-12-20T00:36:07.610000Z,216761,0.223
P,2022-12-20T00:36:23.760000Z,218376,0.113
P,2022-12-20T00:37:41.150000Z,226115,0.230
P,2022-12-20T00:38:38.870000Z,231887,0.101
P,2022-12-20T00:38:59.570000Z,233957,0.123
P,2022-12-20T00:39:05.430000Z,234543,0.159
P,2022-12-20T00:39:15.340000Z,235534,0.141
P,2022-12-20T00:40:25.800000Z,242580,0.127
P,2022-12-20T00:40:31.460000Z,243146,0.114
P,2022-12-20T00:40:57.690000Z,245769,0.107
P,2022-12-20T00:41:34.130000Z,249413,0.256
