phase,time,index,confidence
P,2022-12-25T00:00:15.250000Z,1525,0.546
P,2022-12-25T00:00:18.250000Z,1825,0.267
P,2022-12-25T00:00:20.170000Z,2017,0.110
P,2022-12-25T00:01:04.470000Z,6447,0.215
P,2022-12-25T00:01:12.520000Z,7252,0.204
P,2022-12-25T00:01:15.220000Z,7522,0.242
P,2022-12-25T00:01:34.570000Z,9457,0.146
P,2022-12-25T00:01:50.280000Z,11028,0.162
P,2022-12-25T00:02:13.170000Z,13317,0.331
P,2022-12-25T00:02:18.870000Z,13887,0.262
P,2022-12-25T00:02:21.480000Z,14148,0.347
P,2022-12-25T00:02:32.850000Z,15285,0.182
P,2022-12-25T00:02:37.220000Z,15722,0.102
P,2022-12-25T00:02:39.360000Z,15936,0.229
P,2022-12-25T00:02:56.870000Z,17687,0.137
P,2022-12-25T00:03:22.460000Z,20246,0.440
P,2022-12-25T00:03:34.940000Z,21494,0.132
P,2022-12-25T00:03:37.750000Z,21775,0.271
P,2022-12-25T00:03:42.720000Z,22272,0.126
P,2022-12-25T00:03:47.030000Z,22703,0.179
P,2022-12-25T00:04:01.830000Z,24183,0.165
P,2022-12-25T00:04:05.290000Z,24529,0.148
P,2022-12-25T00:04:15.540000Z,25554,0.128
P,2022-12-25T00:04:23.770000Z,26377,0.284
P,2022-12-25T00:04:26.970000Z,26697,0.182
P,2022-12-25T00:04:32.340000Z,27234,0.310
P,2022-12-25T00:04:34.250000Z,27425,0.115
P,2022-12-25T00:04:37.280000Z,27728,0.135
P,2022-12-25T00:04:42.920000Z,28292,0.253
P,2022-12-25T00:04:46.570000Z,28657,0.245
P,2022-12-25T00:05:05.690000Z,30569,0.203
P,2022-12-25T00:05:18.020000Z,31802,0.319
P,2022-12-25T00:05:19.460000Z,31946,0.492
P,2022-12-25T00:05:27.950000Z,32795,0.122
P,2022-12-25T00:05:44.200000Z,34420,0.439
P,2022-12-25T00:05:54.400000Z,35440,0.788
P,2022-12-25T00:05:57.000000Z,35700,0.128
P,2022-12-25T00:06:06.800000Z,36680,0.669
P,2022-12-25T00:06:08.610000Z,36861,0.358
P,2022-12-25T00:06:10.850000Z,37085,0.391
P,2022-12-25T00:06:19.330000Z,37933,0.533
P,2022-12-25T00:06:26.370000Z,38637,0.317
P,2022-12-25T00:06:35.350000Z,39535,0.508
P,2022-12-25T00:06:45.880000Z,40588,0.211
P,2022-12-25T00:06:48.390000Z,40839,0.166
P,2022-12-25T00:06:51.010000Z,41101,0.329
P,2022-12-25T00:07:39.840000Z,45984,0.238
P,2022-12-25T00:07:42.740000Z,46274,0.287
P,2022-12-25T00:07:49.890000Z,46989,0.271
P,2022-12-25T00:08:14.410000Z,49441,0.124
P,2022-12-25T00:08:20.570000Z,50057,0.140
P,2022-12-25T00:08:45.210000Z,52521,0.526
P,2022-12-25T00:08:47.460000Z,52746,0.372
P,2022-12-25T00:08:49.030000Z,52903,0.458
P,2022-12-25T00:08:50.930000Z,53093,0.522
P,2022-12-25T00:08:58.480000Z,53848,0.343
P,2022-12-25T00:09:07.660000Z,54766,0.581
P,2022-12-25T00:09:12.590000Z,55259,0.341
P,2022-12-25T00:09:13.900000Z,55390,0.469
P,2022-12-25T00:09:43.320000Z,58332,0.399
P,2022-12-25T00:09:44.390000Z,58439,0.181
P,2022-12-25T00:09:46.980000Z,58698,0.116
P,2022-12-25T00:09:49.720000Z,58972,0.463
P,2022-12-25T00:10:09.550000Z,60955,0.199
P,2022-12-25T00:10:24.880000Z,62488,0.336
P,2022-12-25T00:10:40.400000Z,64040,0.243
P,2022-12-25T00:10:54.530000Z,65453,0.434
P,2022-12-25T00:11:06.150000Z,66615,0.206
P,2022-12-25T00:11:13.030000Z,67303,0.445
