phase,time,index,confidence
P,2022-12-26T00:03:52.790000Z,23279,0.100
P,2022-12-26T00:13:09.710000Z,78971,0.318
P,2022-12-26T00:13:24.270000Z,80427,0.200
P,2022-12-26T00:13:46.990000Z,82699,0.223
P,2022-12-26T00:14:43.740000Z,88374,0.187
P,2022-12-26T00:14:48.860000Z,88886,0.162
P,2022-12-26T00:16:39.280000Z,99928,0.211
P,2022-12-26T00:16:58.580000Z,101858,0.124
P,2022-12-26T00:18:45.500000Z,112550,0.398
P,2022-12-26T00:21:04.740000Z,126474,0.285
P,2022-12-26T00:22:07.940000Z,132794,0.122
P,2022-12-26T00:31:55.420000Z,191542,0.151
P,2022-12-26T00:33:04.380000Z,198438,0.117
P,2022-12-26T00:37:08.160000Z,222816,0.114
P,2022-12-26T00:42:24.760000Z,254476,0.139
P,2022-12-26T00:44:48.010000Z,268801,0.131
P,2022-12-26T00:45:50.520000Z,275052,0.290
P,2022-12-26T00:46:42.940000Z,280294,0.300
P,2022-12-26T00:47:06.700000Z,282670,0.123
P,2022-12-26T00:50:15.240000Z,301524,0.112
P,2022-12-26T00:50:34.150000Z,303415,0.120
P,2022-12-26T00:51:46.560000Z,310656,0.254
P,2022-12-26T00:52:42.560000Z,316256,0.170
P,2022-12-26T01:01:03.780000Z,366378,0.103
P,2022-12-26T01:01:41.460000Z,370146,0.178
P,2022-12-26T01:02:35.840000Z,375584,0.483
P,2022-12-26T01:04:11.040000Z,385104,0.335
P,2022-12-26T01:04:16.090000Z,385609,0.150
P,2022-12-26T01:04:56.560000Z,389656,0.201
P,2022-12-26T01:08:03.560000Z,408356,0.303
P,2022-12-26T01:08:07.990000Z,408799,0.106
P,2022-12-26T01:15:42.060000Z,454206,0.160
P,2022-12-26T01:21:38.290000Z,489829,0.230
P,2022-12-26T01:21:41.500000Z,490150,0.265
P,2022-12-26T01:22:09.020000Z,492902,0.189
P,2022-12-26T01:23:05.510000Z,498551,0.413
P,2022-12-26T01:23:51.500000Z,503150,0.111
P,2022-12-26T01:30:18.380000Z,541838,0.284
P,2022-12-26T01:40:10.470000Z,601047,0.108
P,2022-12-26T01:41:14.820000Z,607482,0.111
P,2022-12-26T01:44:55.340000Z,629534,0.103
P,2022-12-26T01:45:44.280000Z,634428,0.150
P,2022-12-26T01:51:12.400000Z,667240,0.207
P,2022-12-26T01:51:45.040000Z,670504,0.375
P,2022-12-26T01:52:00.290000Z,672029,0.143
P,2022-12-26T01:52:03.600000Z,672360,0.110
P,2022-12-26T01:52:59.450000Z,677945,0.120
P,2022-12-26T01:54:25.490000Z,686549,0.126
P,2022-12-26T01:54:43.020000Z,688302,0.378
P,2022-12-26T01:55:16.000000Z,691600,0.112
P,2022-12-26T01:56:05.050000Z,696505,0.342
P,2022-12-26T01:57:52.970000Z,707297,0.166
P,2022-12-26T01:58:29.320000Z,710932,0.110
P,2022-12-26T02:00:14.640000Z,721464,0.140
P,2022-12-26T02:00:31.120000Z,723112,0.122
P,2022-12-26T02:02:56.850000Z,737685,0.257
P,2022-12-26T02:03:15.160000Z,739516,0.115
P,2022-12-26T02:04:47.070000Z,748707,0.102
P,2022-12-26T02:04:58.750000Z,749875,0.109
P,2022-12-26T02:05:26.980000Z,752698,0.108
P,2022-12-26T02:05:58.910000Z,755891,0.103
P,2022-12-26T02:06:21.880000Z,758188,0.142
P,2022-12-26T02:10:18.600000Z,781860,0.113
P,2022-12-26T02:10:33.250000Z,783325,0.151
P,2022-12-26T02:11:05.500000Z,786550,0.111
P,2022-12-26T02:12:05.120000Z,792512,0.116
P,2022-12-26T02:13:34.420000Z,801442,0.124
P,2022-12-26T02:14:57.170000Z,809717,0.128
P,2022-12-26T02:15:46.080000Z,814608,0.163
P,2022-12-26T02:18:55.170000Z,833517,0.120
P,2022-12-26T02:20:31.830000Z,843183,0.162
P,2022-12-26T02:23:51.730000Z,863173,0.254
P,2022-12-26T02:24:28.470000Z,866847,0.112
P,2022-12-26T02:24:56.350000Z,869635,0.129
P,2022-12-26T02:26:38.050000Z,879805,0.108
P,2022-12-26T02:27:08.380000Z,882838,0.147
P,2022-12-26T02:27:55.280000Z,887528,0.166
P,2022-12-26T02:28:13.740000Z,889374,0.168
P,2022-12-26T02:29:41.080000Z,898108,0.290
P,2022-12-26T02:30:00.470000Z,900047,0.495
P,2022-12-26T02:30:27.120000Z,902712,0.163
P,2022-12-26T02:30:43.240000Z,904324,0.100
P,2022-12-26T02:31:19.860000Z,907986,0.132
P,2022-12-26T02:31:35.910000Z,909591,0.119
P,2022-12-26T02:32:06.460000Z,912646,0.122
P,2022-12-26T02:38:09.760000Z,948976,0.295
P,2022-12-26T02:38:23.640000Z,950364,0.109
P,2022-12-26T02:39:24.310000Z,956431,0.147
P,2022-12-26T02:58:54.940000Z,1073494,0.107
P,2022-12-26T03:03:26.500000Z,1100650,0.376
P,2022-12-26T03:12:38.570000Z,1155857,0.346
P,2022-12-26T03:12:52.080000Z,1157208,0.183
P,2022-12-26T03:12:54.670000Z,1157467,0.246
P,2022-12-26T03:12:57.230000Z,1157723,0.333
P,2022-12-26T03:13:02.950000Z,1158295,0.112
P,2022-12-26T03:13:14.300000Z,1159430,0.210
P,2022-12-26T03:14:48.610000Z,1168861,0.134
P,2022-12-26T03:18:20.520000Z,1190052,0.148
P,2022-12-26T03:36:06.510000Z,1296651,0.194
P,2022-12-26T03:43:21.900000Z,1340190,0.105
P,2022-12-26T03:47:43.160000Z,1366316,0.105
P,2022-12-26T03:53:26.570000Z,1400657,0.147
P,2022-12-26T04:00:30.180000Z,1443018,0.112
P,2022-12-26T04:05:57.310000Z,1475731,0.161
P,2022-12-26T04:06:27.490000Z,1478749,0.290
P,2022-12-26T04:15:09.430000Z,1530943,0.122
P,2022-12-26T04:44:04.150000Z,1704415,0.112
P,2022-12-26T04:48:49.400000Z,1732940,0.176
P,2022-12-26T04:49:29.790000Z,1736979,0.510
P,2022-12-26T04:50:22.130000Z,1742213,0.137
P,2022-12-26T04:51:42.700000Z,1750270,0.198
P,2022-12-26T04:51:54.370000Z,1751437,0.456
P,2022-12-26T04:52:23.930000Z,1754393,0.436
P,2022-12-26T04:52:36.840000Z,1755684,0.872
P,2022-12-26T04:52:54.690000Z,1757469,0.556
P,2022-12-26T04:53:04.580000Z,1758458,0.299
P,2022-12-26T04:53:32.680000Z,1761268,0.130
P,2022-12-26T04:53:57.630000Z,1763763,0.111
P,2022-12-26T04:54:21.800000Z,1766180,0.155
P,2022-12-26T04:57:58.820000Z,1787882,0.151
P,2022-12-26T04:59:55.030000Z,1799503,0.104
P,2022-12-26T05:01:11.540000Z,1807154,0.122
P,2022-12-26T05:01:56.780000Z,1811678,0.236
P,2022-12-26T05:03:22.160000Z,1820216,0.212
P,2022-12-26T05:15:21.720000Z,1892172,0.322
P,2022-12-26T05:15:40.630000Z,1894063,0.147
P,2022-12-26T05:15:50.070000Z,1895007,0.121
P,2022-12-26T05:18:15.570000Z,1909557,0.307
P,2022-12-26T05:18:23.480000Z,1910348,0.566
P,2022-12-26T05:20:14.880000Z,1921488,0.169
