Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
BK|BJES|40.54362|-123.87996|1050.7|Bald Jesse, Humboldt County, CA|2019-08-22T00:00:00|3000-01-01T00:00:00
BK|BLAS|40.3227|-123.53248|1679.3|Black Lassic|2022-06-29T00:35:00|3000-01-01T00:00:00
BK|BRIC|40.11223|-123.8965|180.5|Briceland Vineyard, Redway, CA|2019-02-28T00:00:00|3000-01-01T00:00:00
BK|DMOR|40.70973|-123.70331|1305.0|Dinsmores, Humboldt County, CA|2019-08-20T00:00:00|3000-01-01T00:00:00
BK|GHOP|40.30643|-123.97797|1028.9|Grasshopper Mountain|2022-05-05T19:00:00|3000-01-01T00:00:00
BK|HALS|39.81357|-123.72703|582.0|Hales Grove, Mendocino, CA|2020-06-19T00:00:00|3000-01-01T00:00:00
BK|HAYF|40.5227|-123.23198|776.6|Tule Creek, Hayfork, CA|2019-11-19T00:00:00|3000-01-01T00:00:00
BK|HUNT|40.18942|-123.14557|1540.0|Big Hunter Mountain, Trinity County|2022-06-28T21:00:00|3000-01-01T00:00:00
BK|JCC|40.817451|-124.029549|27.2|Jacoby Creek, Bayside, CA, USA|2001-04-11T21:27:00|3000-01-01T00:00:00
BK|JEWT|40.063044|-123.628171|694.1|Jewett Creek|2023-08-23T19:50:00|3000-01-01T00:00:00
BK|KNEE|40.71519|-123.90112|892.2|Kneeland/Ashfield Ridge|2022-09-07T22:00:00|3000-01-01T00:00:00
BK|KRUG|40.951824|-123.953674|398.6|Krueger Creek|2023-08-22T19:40:00|3000-01-01T00:00:00
BK|PETL|40.28844|-124.34259|49.6|Punta Gorda, Petrolia, CA|2019-03-01T00:00:00|3000-01-01T00:00:00
BK|PRDS|40.10561|-124.04458|786.5|Paradise Ridge|2022-09-09T00:20:00|3000-01-01T00:00:00
BK|RBOW|40.33467|-124.11136|1100.0|Rainbow Ridge, Humboldt, CA|2020-06-18T02:42:00|3000-01-01T00:00:00
BK|RVIT|39.90629|-123.37859|781.8|Round Valley Indian Tribe, Mendocino County, CA|2019-10-01T00:00:00|3000-01-01T00:00:00
BK|SHWD|39.511871|-123.494942|852.1|Sherwood Rancheria area, Willits|2023-02-02T21:10:00|3000-01-01T00:00:00
BK|SPRL|40.02238|-123.8498|441.3|Sproul Creek|2023-07-25T00:00:00|3000-01-01T00:00:00
BK|WLKR|40.3629|-124.32226|274.9|Walker Ranch; near Petrolia CA|2023-07-25T21:50:00|3000-01-01T00:00:00
NC|G002|39.591915|-123.783699|30.0|N Highway 1 Fort Bragg|2012-12-06T00:21:00|3000-01-01T00:00:00
NC|K003|40.935638|-124.099701|36.0|Sutter Rd McKinleyville|2012-12-04T22:36:00|3000-01-01T00:00:00
NC|K004|40.246887|-124.119537|170.0|Old Hinley Ranch Rd Honeydew|2012-12-05T18:49:00|2024-12-09T20:45:00
NC|KBN|39.89236|-123.19508|1365.0|Bluenose Ridge|2021-02-26T00:48:00|3000-01-01T00:00:00
NC|KBSB|39.914517|-123.596812|1079.0|Bell Springs #3|2023-07-15T22:00:00|3000-01-01T00:00:00
NC|KBU|40.24553|-123.8532|577.0|Burgh Ranch|2019-05-22T00:00:00|3000-01-01T00:00:00
NC|KCO|40.256748|-124.265984|892.0|Cooskie Peak|2012-09-19T16:05:00|3000-01-01T00:00:00
NC|KCPC|39.68555|-123.58183|1271.0|Cahto Peak #3|2022-11-16T02:00:00|3000-01-01T00:00:00
NC|KCR|40.426441|-123.820641|873.0|Chalk Rock #2|1979-09-06T21:30:00|3000-01-01T00:00:00
NC|KCSB|40.538363|-123.513998|1658.5|Cold Springs|2021-10-13T00:00:00|3000-01-01T00:00:00
NC|KCT|40.475567|-124.337486|378.0|Cape Town|1979-09-04T23:35:00|3000-01-01T00:00:00
NC|KFP|39.638885|-123.42514|768.0|Farley Peak|1979-09-05T18:15:00|3000-01-01T00:00:00
NC|KHBB|40.659901|-123.219658|1864.0|Hayfork Bally|2003-09-11T23:30:00|3000-01-01T00:00:00
NC|KHMB|40.874748|-123.73259|1501.0|Horse Mountain|1999-08-06T00:00:00|3000-01-01T00:00:00
NC|KIP|39.808517|-123.481293|1359.0|Iron Peak|2019-08-21T20:42:00|3000-01-01T00:00:00
NC|KLR|40.062937|-123.330835|1025.0|Long Ridge|2022-10-18T00:00:00|3000-01-01T00:00:00
NC|KMPB|40.417194|-124.120758|938.0|Mount Pierce|2000-04-27T00:00:00|3000-01-01T00:00:00
NC|KMR|40.202175|-123.708633|915.0|Mail Ridge|2003-07-25T16:16:00|3000-01-01T00:00:00
NC|KPPB|40.34587|-123.36322|1738.0|Pickett Peak|2022-06-28T00:00:00|3000-01-01T00:00:00
NC|KPR|40.2196|-124.05732|450.0|Pringle Ridge|2019-05-22T00:00:00|3000-01-01T00:00:00
NC|KRK|39.563152|-123.18367|1259.0|Rackout Springs|1979-09-04T21:50:00|3000-01-01T00:00:00
NC|KRP|41.157654|-124.0233|813.0|Rodgers #3|1980-11-25T19:10:00|3000-01-01T00:00:00
NC|KSM|40.186855|-124.175621|962.0|Slide Mountain|2023-01-13T01:00:00|3000-01-01T00:00:00
NC|KTD|41.05387|-124.15057|101.0|Trinidad Head|2019-12-19T21:00:00|3000-01-01T00:00:00
NC|KTJ|40.0548|-123.975387|307.0|Thorn Junction|2023-01-13T00:00:00|3000-01-01T00:00:00
